zip_code,total,white,black,indigenous,asian,latino,other,multiracial,white_percent
90248,11512,1164,1726,6,3553,4785,53,185,0.10111188325225852
90249,26587,3564,7336,35,3907,9988,258,865,0.13405047579644186
90250,96836,10865,21397,162,7666,52103,430,3803,0.11220000826139039
90254,19650,15174,264,151,1219,1923,67,852,0.7722137404580153
90255,75560,1109,517,41,382,73228,82,67,0.014677077818951827
90260,35161,6098,2575,47,4078,21170,160,762,0.17343078979551207
90262,70936,1678,5815,247,513,62168,33,204,0.023655125747152363
90263,1846,784,87,0,477,365,0,123,0.4247020585048754
90265,18389,15008,297,35,658,1666,0,691,0.8161400837457176
90266,35573,26441,150,59,4225,2969,105,1624,0.7432884491046581
90270,27454,364,93,16,68,26897,8,8,0.013258541560428353
90272,22551,18651,100,21,1360,1120,34,1259,0.8270586670214182
90274,25279,15857,266,2,5908,2338,44,854,0.6272795601091815
90275,42421,22209,754,65,13041,3793,39,2203,0.5235378703943802
90277,34506,23178,813,50,3662,5138,160,1493,0.6717092679533994
90278,40649,23019,1337,132,5837,7251,376,2647,0.5662869935299761
90280,95103,2954,620,72,703,90380,32,164,0.031061060113771386
90290,5371,4540,90,0,246,312,45,138,0.8452802085272761
90291,27525,18749,1489,49,867,5235,72,1045,0.6811625794732061
90292,22490,15983,1613,0,2110,1944,195,599,0.7106714095153401
90293,12694,7819,796,54,1700,1627,126,572,0.6159602962029305
90301,37291,1487,11721,241,665,22154,132,673,0.039875573194604594
90302,30828,1906,13048,29,647,14114,108,930,0.061826910600752565
90303,24693,646,8212,38,388,15033,17,359,0.026161260276191634
90304,25591,488,750,19,692,23296,115,39,0.01906920401703724
90305,15397,421,12308,0,169,1951,34,461,0.02734298889394038
90401,7256,4891,641,8,563,866,0,287,0.6740628445424476
90402,11866,9350,96,0,917,981,49,473,0.7879656160458453
90403,24354,17983,413,32,2317,2165,73,1335,0.7384002627905067
90404,22819,10507,1674,16,3055,6443,73,1024,0.4604496253122398
90405,28115,18246,1136,45,2265,4498,159,1733,0.6489774141917126
90501,42335,9438,2409,150,10609,17538,233,1582,0.22293610487776072
90502,18188,2703,1265,20,6518,7149,39,441,0.14861447107983286
90503,44908,18073,970,72,18128,5356,119,1799,0.4024449986639352
90504,33721,8814,1101,142,13076,8559,168,1735,0.2613801488686575
90505,37641,16191,901,126,13667,4966,89,1625,0.4301426635849207
90506,0,0,0,0,0,0,0,0,
90601,33058,6328,280,217,2460,23418,45,310,0.19142113860487628
90602,25981,4616,382,65,888,19556,324,124,0.17766829606250722
90603,21299,7724,168,4,1068,11828,118,349,0.3626461336212968
90604,42063,9616,316,96,2386,28693,408,507,0.22860946675225258
90605,40957,6522,273,87,1681,31319,485,375,0.15924017872402763
90606,32803,2886,261,342,585,28573,20,123,0.08797975794896808
90620,46842,13885,1025,56,14390,15643,71,1356,0.29642201443149313
90621,35398,6016,1465,122,11247,15878,0,415,0.16995310469518052
90623,15813,4059,867,90,7380,2749,13,553,0.25668753557199775
90630,49169,18628,1842,85,16785,9566,202,1886,0.37885659663609184
90631,69502,19980,644,174,8459,39263,83,899,0.287473741762827
90638,49383,16276,984,145,9920,20698,54,1268,0.329587104874147
90640,63177,4524,640,118,8252,49258,0,354,0.07160833847761053
90650,105886,10990,4270,260,14586,74241,210,922,0.10379086942560867
90660,63380,3348,367,189,1733,57451,54,192,0.052824234774376776
90670,16578,2035,659,85,1152,12341,205,101,0.12275304620581494
90680,30321,6331,398,236,8237,14394,59,458,0.20879918208502357
90701,16858,2821,482,48,6198,6689,27,529,0.16733894886700676
90703,50963,7559,3669,163,30200,7226,47,1887,0.1483232933696996
90704,3922,1629,1,0,2,2226,0,63,0.4153493115757267
90706,77529,12698,9430,155,9748,43166,395,1488,0.16378387442118433
90710,28185,5016,3531,0,5544,12727,24,767,0.17796700372538585
90712,31063,10903,2920,79,5612,10649,105,673,0.35099636223159386
90713,29061,13813,1401,0,3425,8335,94,1456,0.47531055366298475
90715,20136,3899,1431,30,5732,8395,19,410,0.19363329360349624
90716,14344,849,780,0,1481,11019,54,161,0.05918851087562744
90717,21696,8768,1031,55,3266,7571,87,909,0.40412979351032446
90720,22389,13400,686,80,2823,4188,18,1156,0.5985081959891018
90723,54776,2649,5392,13,1424,44273,109,459,0.04836059588140792
90731,61850,17463,4113,76,2572,34988,95,2491,0.28234438156831043
90732,22273,11257,1074,12,2563,6543,36,719,0.505410137835047
90740,24494,17251,480,66,2540,3183,59,861,0.7042949293704581
90742,699,576,0,24,10,78,0,11,0.8240343347639485
90743,267,222,6,0,15,15,0,0,0.8314606741573034
90744,57206,2332,1238,30,1568,51389,27,493,0.04076495472502884
90745,56821,4083,4047,107,20275,25059,5,1601,0.0718572358811003
90746,26996,1854,16825,78,1871,5036,87,784,0.06867684101348348
90747,0,0,0,0,0,0,0,0,
90755,11555,3233,1313,34,2698,3848,10,396,0.2797922977066205
90802,39453,14909,5495,174,3112,13996,231,1278,0.37789268243226115
90803,32389,22304,1512,41,2580,4822,15,1044,0.6886288554756245
90804,39344,10391,4681,169,5820,17036,65,1095,0.2641063440422936
90805,96708,7469,18576,333,10371,56877,103,1520,0.07723249369235223
90806,42817,3931,6860,188,8435,22163,150,619,0.09180932807062615
90807,32067,11806,5254,26,5090,8275,157,1224,0.3681666510743132
90808,38860,22106,1903,235,3752,9138,45,1595,0.5688625836335564
90810,38579,2323,4094,41,8526,21238,131,1356,0.060214106119909794
90813,59000,4662,7007,107,7462,38443,35,1132,0.07901694915254237
90814,18587,9955,1536,17,1646,4691,13,638,0.5355893904341744
90815,41026,23710,2112,152,5071,8297,67,1590,0.57792619314581
90822,139,83,28,0,3,8,0,17,0.5971223021582733
90831,0,0,0,0,0,0,0,0,
91001,37711,13351,9198,36,2186,11308,179,1390,0.35403463180504363
91006,33012,7484,380,72,19295,4583,9,1004,0.22670544044589847
91007,34523,7441,663,140,20942,4328,123,856,0.21553746777510646
91008,1141,593,18,12,375,135,0,8,0.5197195442594216
91010,26601,5267,1845,85,4030,14720,80,565,0.19800007518514343
91011,20423,11450,126,0,6181,1803,45,818,0.5606424129657739
91016,41671,14430,2267,16,5691,17507,73,1462,0.3462839864654076
91020,8720,3952,146,0,2187,2177,0,241,0.45321100917431195
91024,11006,7220,120,7,1358,1772,144,364,0.6560058150099946
91030,25794,10931,663,59,7678,5039,181,1222,0.42378072419942625
91040,20207,12791,192,13,2134,4550,113,414,0.632998465878161
91042,26631,16388,567,76,1869,6954,39,566,0.6153730614697157
91046,143,100,0,0,0,9,0,0,0.6993006993006993
91101,21394,7965,1369,0,5194,6258,92,486,0.3723006450406656
91103,28425,5498,4866,72,2129,15274,57,529,0.1934212840809147
91104,37974,15141,3059,2,3814,14506,138,1176,0.39872017696318535
91105,12191,6866,691,0,2272,1727,115,520,0.5632023623984906
91106,25375,9371,1813,40,5723,7222,96,1077,0.3693004926108374
91107,32364,13250,1855,13,7704,8340,183,989,0.4094055122976146
91108,13538,4252,265,0,7917,600,7,450,0.3140788890530359
91201,23619,15763,450,120,2011,4725,28,456,0.6673864261823108
91202,23317,15381,472,0,3247,3751,38,428,0.6596474675129733
91203,15000,8876,311,72,2619,2625,0,497,0.5917333333333333
91204,18720,8853,455,0,2906,6237,0,269,0.47291666666666665
91205,37618,22543,535,0,4978,8868,20,640,0.5992609920782604
91206,34386,22098,562,21,5961,4559,42,1125,0.6426452626068749
91207,11371,8956,51,0,973,851,72,468,0.7876176237797907
91208,16049,10948,68,226,2218,2027,0,562,0.6821608822979625
91210,689,459,10,0,174,35,0,11,0.6661828737300436
91214,30654,16971,77,24,8741,3821,18,986,0.5536308475239773
91301,25631,19366,733,0,1910,2734,111,777,0.7555694276462097
91302,26634,20418,133,136,2534,2216,47,1150,0.7666141022752873
91303,31053,6035,977,59,3471,19959,100,450,0.1943451518371816
91304,53761,19001,2885,28,7671,22405,376,1345,0.35343464593292534
91306,49158,13421,1714,127,8384,24214,329,864,0.2730176166646324
91307,26595,16077,1078,193,4590,3792,52,810,0.6045121263395375
91311,40420,19676,1716,114,6703,10525,328,1256,0.4867887184562098
91316,29964,20721,901,11,2564,4427,12,1328,0.6915298358029636
91320,45520,30660,488,9,5355,7620,31,1322,0.6735500878734623
91321,34355,13534,954,131,2351,16294,28,1033,0.39394556833066513
91324,29617,12214,1824,4,5398,9369,67,694,0.41239828476888274
91325,34635,13007,2529,0,5480,12536,107,944,0.3755449689620326
91326,37035,16489,1799,185,11863,5408,18,1139,0.4452274875118131
91330,3273,887,450,0,614,1128,0,175,0.27100519401161016
91331,105799,4728,3105,168,5551,91446,340,448,0.04468851312394257
91335,80524,23287,3291,204,10562,41069,470,1593,0.2891932839898664
91340,36227,1385,516,106,424,33756,14,18,0.03823115355949982
91342,96487,13072,3220,251,4987,73809,198,926,0.13547939100604225
91343,66590,12494,2529,25,9488,40694,125,1049,0.18762576963508035
91344,53266,24414,2241,56,8763,16289,39,1377,0.45834115570908274
91345,19205,3644,348,50,2058,12561,143,219,0.1897422546211924
91350,37350,19908,1093,86,4319,10460,77,1402,0.533012048192771
91351,32572,12913,969,73,2627,14585,29,1373,0.39644479921404885
91352,47438,8983,520,58,2640,34602,102,521,0.18936295796618743
91354,32096,16805,1528,162,5755,6189,27,1559,0.5235854935194417
91355,31455,18461,1042,37,3769,6711,60,1344,0.58690192338261
91356,30804,20700,1595,5,2054,5046,209,1195,0.6719906505648617
91360,43342,28763,502,158,3154,9405,53,1255,0.6636288126989986
91361,20443,16291,336,62,1135,1975,0,644,0.7968986939294624
91362,36062,24253,468,106,3453,6535,57,1159,0.6725361876767789
91364,27340,19290,1867,103,1723,3434,52,871,0.7055596196049744
91367,45282,29746,2143,74,6009,5190,313,1741,0.6569056137096418
91371,0,0,0,0,0,0,0,0,
91377,13730,9166,163,0,2480,1045,20,843,0.6675892206846322
91381,20371,10720,548,0,4681,3428,9,985,0.526238279907712
91384,28842,12821,1692,28,2153,10897,42,1137,0.4445253449830109
91387,43717,16582,2752,178,4994,17487,96,1611,0.37930324587689
91390,19053,12138,270,18,1380,4614,25,578,0.637065029129271
91401,41412,18637,1953,39,2233,17359,119,1070,0.4500386361441128
91402,70686,6494,2340,67,9862,51536,159,180,0.09187109187109187
91403,25218,18023,1521,34,1817,2683,26,1094,0.714687921326037
91405,55384,12624,2229,33,3862,35109,468,996,0.22793586595406615
91406,55215,14748,2542,69,5037,30991,500,1302,0.2671013311600109
91411,25801,8957,1364,0,1778,12976,7,719,0.34715708693461494
91423,33737,23127,2052,9,2263,4623,27,1601,0.6855084921599431
91436,15070,12356,216,25,925,1305,38,177,0.819907100199071
91501,20300,14041,611,84,1781,2722,223,838,0.6916748768472907
91502,11598,5740,338,29,1307,3837,237,110,0.4949129160200034
91504,26863,14013,798,70,4416,6354,588,616,0.521646874883669
91505,30680,16682,857,50,3708,7761,156,1454,0.54374185136897
91506,18575,10630,221,109,2033,5100,81,391,0.5722745625841185
91601,37085,17648,2560,103,2336,13399,140,849,0.4758797357422138
91602,19358,12489,1285,38,1603,2962,13,919,0.6451596239280918
91604,32117,23583,1433,96,2591,3065,28,1245,0.7342840240371143
91605,52210,14653,1623,8,4726,30459,73,612,0.2806550469258763
91606,44476,15783,1742,30,2384,23883,116,441,0.3548655454627215
91607,30873,19048,1494,33,2002,7198,119,976,0.6169792375214589
91608,0,0,0,0,0,0,0,0,
91701,40034,19334,1841,87,3595,14059,101,1017,0.4829395014237898
91702,62348,10279,1755,143,6651,42304,75,1055,0.16486495156219927
91706,77342,3116,1386,131,14381,57558,120,136,0.04028858834785757
91708,3892,1003,390,34,942,1192,0,331,0.25770811921891057
91709,79298,23455,3209,203,26788,23069,236,2292,0.29578299578804007
91710,90582,22699,5235,204,11196,47752,72,2936,0.25059062506899826
91711,36854,18227,1848,175,5340,9589,175,1487,0.4945731806588159
91722,35708,6041,705,47,4606,23348,138,790,0.16917777528845077
91723,18875,4168,729,73,1596,11855,104,350,0.22082119205298012
91724,26091,6980,807,26,4240,13536,29,468,0.26752520026062626
91730,71422,21133,8986,572,8400,29634,139,2156,0.2958892218084064
91731,30139,1337,124,16,8433,19732,33,141,0.04436112677925611
91732,63572,2805,300,95,18407,41451,54,296,0.04412319889259422
91733,44968,1136,130,44,8953,34360,7,208,0.02526240882405266
91737,25339,11990,1235,5,3056,8001,44,981,0.473183629977505
91739,39803,12506,3559,1,7408,15117,110,1102,0.31419742230485137
91740,26115,11376,712,172,2382,10701,25,708,0.4356117174037909
91741,26565,14558,271,72,3111,7174,143,1187,0.5480143045360437
91744,87240,3421,917,135,10064,72107,143,265,0.03921366345712976
91745,54975,6529,552,78,22197,24920,189,488,0.11876307412460209
91746,30708,1009,458,0,3587,25482,63,104,0.03285788719551908
91748,47084,3803,643,183,29312,12375,56,570,0.08077053776229717
91750,33836,16724,1063,68,3145,12143,48,635,0.49426646175670885
91752,33135,7397,1995,22,2062,20646,11,913,0.223238267692772
91754,33058,1419,186,60,20565,9872,31,673,0.04292455683949422
91755,27734,948,41,182,19694,6470,9,221,0.0341818706281099
91759,374,327,5,5,0,37,0,0,0.8743315508021391
91761,61124,9929,3131,170,3976,42427,185,1101,0.16244028532164126
91762,60699,9825,2684,195,3044,43675,186,998,0.16186428112489498
91763,38406,5156,1118,89,4109,26960,134,724,0.1342498567932094
91764,54825,7618,3283,226,3337,39261,167,890,0.13895120839033287
91765,47139,9213,2028,131,25843,8568,52,995,0.19544326353974417
91766,72332,5564,2524,99,9100,53769,249,1000,0.07692307692307693
91767,50264,7253,4196,206,3814,33894,50,782,0.1442981060003183
91768,35389,4322,1907,27,2179,25990,227,698,0.12212834496594988
91770,63425,2698,115,136,37997,21999,11,459,0.04253843121797399
91773,34496,15518,1084,161,4919,11789,34,893,0.44984925788497215
91775,25192,5519,382,51,12560,6053,142,478,0.2190774849158463
91776,38410,3035,180,37,24218,10662,5,155,0.07901588128091643
91780,35351,5363,194,101,21331,7683,0,543,0.1517071652852819
91784,25567,13736,732,58,3288,6754,36,963,0.5372550553447804
91786,53849,17951,3304,71,3848,27025,180,1407,0.33335809392932086
91789,44474,5705,1275,56,26318,10029,33,1051,0.12827719566488285
91790,45206,5145,1057,85,9844,27918,15,847,0.11381232579746052
91791,34363,5075,1560,13,9622,17324,168,592,0.14768792014666937
91792,29839,1942,1811,22,12629,12973,14,409,0.06508261000703777
91801,54479,4998,1204,230,28744,18131,7,972,0.0917417720589585
91803,30385,2669,459,28,14359,12375,26,415,0.08783939443804509
91901,18558,14606,246,277,459,2530,0,440,0.7870460178898588
91902,20138,6746,520,14,2500,9279,16,886,0.33498857880623695
91905,1478,1074,83,74,0,185,0,62,0.7266576454668471
91906,4351,2163,31,255,22,1799,0,81,0.4971270972190301
91910,74297,17132,2610,56,7241,45307,0,1706,0.23058804527773666
91911,85365,13013,2317,44,7216,61189,55,1036,0.15243952439524394
91913,53072,7264,2777,0,15624,24788,189,2053,0.13687066626469702
91914,16357,3378,1035,7,3570,7490,22,789,0.20651708748548023
91915,31740,5165,1608,23,6877,15287,454,2198,0.1627284183994959
91916,1962,1630,5,20,0,213,0,94,0.8307849133537207
91917,920,220,3,0,132,395,0,60,0.2391304347826087
91931,496,398,0,0,0,98,0,0,0.8024193548387096
91932,26701,8232,1106,307,1966,13909,0,1176,0.308303059810494
91934,267,55,0,28,65,119,0,0,0.20599250936329588
91935,8332,5646,122,73,300,1987,108,89,0.6776284205472876
91941,32384,19064,2566,18,1374,7671,40,1550,0.5886857707509882
91942,40205,23590,1946,23,2773,9958,12,1828,0.5867429424200971
91945,27193,7793,3784,40,1713,12616,17,1118,0.28658110543154486
91948,15,15,0,0,0,0,0,0,1.0
91950,62639,6551,2791,120,11611,40306,11,894,0.10458340650393524
91962,2378,1637,20,23,28,605,0,65,0.6883936080740117
91963,999,459,0,0,0,540,0,0,0.4594594594594595
91977,63393,18640,7348,157,5454,28677,38,2458,0.294038773997129
91978,10518,4721,986,44,650,3346,0,717,0.4488495911770298
91980,636,0,0,0,0,636,0,0,0.0
92003,5042,3133,91,9,339,1257,11,202,0.6213804046013487
92004,2414,1638,109,0,0,667,0,0,0.6785418392709196
92007,11234,9576,30,0,262,1097,29,240,0.8524123197436354
92008,27330,20136,159,74,1352,4761,70,715,0.7367727771679473
92009,45827,34839,267,54,3702,4990,147,1759,0.7602286861457219
92010,16131,10383,364,63,2041,2802,0,478,0.6436674725683467
92011,24382,17428,131,0,2179,3649,188,687,0.714789598884423
92014,13863,11330,56,0,1046,1059,9,351,0.8172834162879608
92019,42400,28289,1450,116,1237,9610,118,1512,0.667193396226415
92020,58742,35752,3137,134,2492,14585,261,2190,0.608627557795104
92021,71321,40364,3194,160,1840,21495,125,3519,0.5659483181671597
92024,51496,40285,427,149,2101,7109,24,1365,0.7822937703899332
92025,53772,17310,1106,200,2421,31149,16,1481,0.3219147511716135
92026,49921,24465,941,413,4248,17764,115,1795,0.490074317421526
92027,56811,19323,1173,0,3883,30547,148,1563,0.34012779215292815
92028,49380,27193,1011,159,1223,18747,24,916,0.5506885378695828
92029,19149,12086,315,11,1512,4381,46,735,0.6311556739255314
92036,2221,1748,61,66,2,262,0,82,0.7870328680774425
92037,39724,29507,670,7,3929,4092,50,1432,0.742800322223341
92040,46261,34295,776,875,855,7945,34,1091,0.7413371954778323
92054,42173,22072,1476,215,1162,15397,17,1454,0.5233680316790363
92055,12120,7270,1206,127,384,2931,29,102,0.5998349834983498
92056,53845,29082,1743,213,4118,16619,67,1635,0.5401058594112731
92057,58347,25732,3832,160,5602,20386,124,2309,0.44101667609302964
92058,45894,22221,3004,255,2346,16221,37,1525,0.4841809386847954
92059,1456,251,35,589,46,461,0,48,0.1723901098901099
92060,92,82,0,0,0,10,0,0,0.8913043478260869
92061,2376,494,6,822,51,943,0,60,0.2079124579124579
92064,49933,32362,605,25,5787,9029,86,1963,0.6481084653435604
92065,36309,24485,285,195,1047,9249,32,986,0.6743507119446969
92066,572,429,13,123,0,7,0,0,0.75
92067,8756,7289,159,0,152,1087,0,69,0.8324577432617634
92069,51447,18651,1089,161,4488,25190,54,1481,0.36252842731354595
92070,829,408,0,222,38,147,0,14,0.49215922798552475
92071,57511,39708,1092,281,3001,10441,35,2807,0.6904418285197614
92075,12624,9365,93,13,691,2098,0,364,0.741840937896071
92078,49034,26349,1400,250,4866,13775,109,2055,0.5373618305665456
92081,29405,17636,493,22,2236,7924,133,954,0.5997619452474069
92082,18065,11862,91,823,614,4137,15,501,0.6566288402989205
92083,39043,11782,1485,62,1457,23508,47,647,0.30176984350587815
92084,51419,22572,1483,64,1422,25045,36,740,0.4389816993718275
92086,1544,1102,29,106,60,217,0,30,0.7137305699481865
92091,1343,1020,0,0,235,77,0,11,0.759493670886076
92101,39313,23397,3308,73,3239,7858,127,1129,0.5951466436038969
92102,44500,9058,3915,219,2787,27403,27,932,0.2035505617977528
92103,34878,23704,1549,132,2215,5916,144,1152,0.6796261253512242
