zip_code,total,white,black,indigenous,asian,latino,other,multiracial,white_percent
89010,319,150,0,29,0,136,0,4,0.4702194357366771
89019,1892,1368,96,0,190,220,0,18,0.7230443974630021
89060,10281,7756,508,37,69,1738,48,108,0.7544013228285186
89061,4669,3342,181,144,302,526,0,105,0.7157849646605269
89439,1687,1607,0,0,0,60,0,20,0.95257854179016
90001,54760,471,4475,28,70,49567,12,137,0.008601168736303871
90002,49475,437,12770,65,67,35974,7,143,0.008832743810005053
90003,66200,449,16725,121,102,48400,70,314,0.006782477341389728
90004,62760,11326,1887,113,15536,32272,520,966,0.18046526449968134
90005,39548,3062,1698,99,12514,21580,147,204,0.07742490138565794
90006,59498,2269,1719,63,10741,44156,21,249,0.03813573565498
90007,43173,7853,4211,54,7308,22763,286,552,0.18189609246519817
90008,33280,870,22633,41,835,7621,294,858,0.026141826923076924
90010,4133,583,60,77,2929,408,0,76,0.14105976288410355
90011,100882,655,7402,85,576,91354,330,323,0.006492734085367062
90012,29528,4820,3206,42,12553,8081,17,512,0.16323489569222432
90013,10256,2779,3503,29,1514,1918,145,368,0.2709633385335413
90014,6008,2338,1466,28,878,1139,47,80,0.3891478029294274
90015,18358,2205,1079,16,2369,12581,0,108,0.1201111232160366
90016,47273,2147,18159,97,1178,24677,234,761,0.04541704567089036
90017,23755,2669,1044,70,3011,16792,0,34,0.11235529362239528
90018,48498,2063,15783,22,1733,27542,630,660,0.04253783661181904
90019,65408,9742,14219,60,9612,29669,245,1806,0.14894202544031312
90020,39866,4426,2199,156,18160,14108,135,628,0.11102192344353584
90021,2940,621,692,0,138,1403,0,86,0.21122448979591837
90022,70147,867,168,61,457,68538,11,45,0.012359758792250559
90023,45126,843,290,35,310,43611,0,37,0.018681026459247442
90024,50964,29333,1351,83,13541,4605,202,1800,0.5755631426104701
90025,43555,23497,1202,15,9043,7747,25,1851,0.5394788198829067
90026,68726,14866,1865,179,10834,39856,174,917,0.2163082385123534
90027,45942,27261,1287,34,6081,10125,232,922,0.5933786078098472
90028,28151,14074,1604,236,2219,9312,68,627,0.4999467159248339
