zip_code,total,white,black,indigenous,asian,latino,other,multiracial,white_percent
89010,549,333,0,39,0,171,0,6,0.6065573770491803
89019,1804,1493,60,0,101,147,0,3,0.8276053215077606
89060,9587,7113,591,18,48,1637,0,134,0.7419422134139981
89061,5337,4017,52,29,326,805,0,85,0.7526700393479483
89439,1609,1516,0,0,0,76,0,17,0.9422001243008079
90001,57227,353,4872,18,88,51728,44,124,0.0061684170059587255
90002,50626,395,11597,238,142,38049,16,159,0.007802315015999684
90003,69502,364,15699,139,197,52803,47,233,0.005237259359442894
90004,64008,10755,2228,95,16332,32690,386,1317,0.16802587176602923
90005,38979,3218,1889,98,13066,19944,350,368,0.08255727442982119
90006,61625,2377,1781,44,11028,45635,95,333,0.03857200811359027
90007,43426,7362,4360,22,8597,22150,205,555,0.16952977478929673
90008,31837,835,21320,96,1167,7424,262,684,0.026227345541351258
90010,3740,497,150,12,2699,360,0,22,0.13288770053475935
90011,104058,638,8602,74,633,93520,246,181,0.006131196063733687
90012,30860,5105,3481,91,13070,8453,51,527,0.16542449773169152
90013,11299,3160,3604,38,1773,1872,208,644,0.279670767324542
90014,7006,3023,1345,37,957,1366,48,203,0.4314872966029118
90015,18767,2137,1357,12,3075,11984,19,173,0.1138700911173869
90016,47590,2560,16855,157,1395,25531,200,892,0.053792813616305946
90017,24336,3005,1114,54,3661,16240,0,102,0.12347961867192636
90018,49824,2146,15894,20,1919,28396,673,704,0.04307161207450225
90019,67553,9637,13656,96,10138,31874,380,1719,0.14265835714179978
90020,39866,4633,2044,164,18120,13757,55,953,0.11621431796518336
90021,2970,561,609,29,109,1547,0,115,0.18888888888888888
90022,68136,991,226,0,724,66099,25,54,0.0145444405307033
90023,46288,929,255,0,377,44698,0,29,0.020069996543380573
90024,50693,26936,1020,28,15049,5347,153,2122,0.53135541396248
90025,46107,25050,1077,0,10248,7653,63,1810,0.5433014509727373
90026,68520,15671,1889,184,11820,37674,143,1050,0.22870694687682427
90027,46646,27635,1204,13,5575,10555,224,1410,0.5924409381297432
90028,30380,15344,1957,237,2139,9931,77,674,0.5050691244239631
90029,40472,9590,1213,12,6596,22451,109,501,0.23695394346708837
90031,39422,2219,194,41,9738,26755,94,273,0.056288366901729996
90032,47099,3594,787,45,4424,37960,6,233,0.0763073525977197
90033,48277,1183,536,72,2332,44060,0,45,0.024504422395757813
90034,58069,22828,4860,84,10515,16741,348,2481,0.39311853140229724
90035,30852,21246,2478,77,2488,3206,200,1146,0.6886425515363672
90036,37640,23985,1325,83,6889,3503,246,1559,0.637221041445271
90037,62872,994,12598,36,544,47950,289,461,0.015809899478305127
90038,28577,8598,1491,9,1475,16201,78,693,0.3008713300906323
90039,28149,10773,672,0,5037,10686,71,843,0.3827134178834062
90040,12699,248,130,59,229,11943,34,56,0.019529096779273957
90041,28796,8595,346,9,7640,11453,39,689,0.2984789554104737
90042,62650,8921,1643,101,7442,43304,148,987,0.14239425379090184
90043,43129,1598,26237,79,568,13099,318,1187,0.03705163579030351
90044,88975,960,31749,23,385,54635,219,961,0.010789547625737566
90045,41922,20329,5738,110,5725,7613,135,2163,0.4849243833786556
90046,51651,38053,2121,67,2880,6143,371,1913,0.7367330738998277
90047,48678,601,31636,19,243,15137,89,859,0.012346439870167222
90048,22498,17118,566,61,2219,1668,50,809,0.7608676326784604
90049,35427,28196,492,17,3222,2230,28,1225,0.7958901402884805
90056,8537,983,6436,0,361,360,0,328,0.11514583577369099
90057,46509,2480,2252,35,9817,31585,44,279,0.05332301275022039
90058,2680,73,218,0,218,2171,0,0,0.027238805970149254
90059,44648,431,14045,19,291,29422,222,218,0.009653287941229171
90061,28135,269,9502,18,62,18099,64,116,0.009561044961791363
90062,33353,321,11041,0,407,20599,529,384,0.009624321650226366
90063,53813,639,172,14,575,52132,106,159,0.01187445412818464
90064,26384,16194,827,10,4827,3474,168,833,0.6137810794420862
90065,46904,8700,793,9,7385,29007,107,868,0.1854852464608562
90066,59124,27026,2481,145,8372,18352,221,2427,0.4571070969487856
90067,2330,1770,0,0,488,16,0,26,0.759656652360515
90068,21233,15576,961,53,1487,2097,101,958,0.733575095370414
90069,20132,14420,860,22,1033,2808,137,820,0.7162726008344924
90071,0,0,0,0,0,0,0,0,
90073,862,267,350,0,65,150,11,18,0.30974477958236657
90077,8844,7009,212,0,757,573,14,279,0.7925146992311172
90079,0,0,0,0,0,0,0,0,
90089,3334,1495,129,6,1130,327,37,202,0.44841031793641273
90090,0,0,0,0,0,0,0,0,
90094,6858,2970,970,0,1969,664,0,285,0.4330708661417323
90095,0,0,0,0,0,0,0,0,
90201,102946,3778,702,79,803,97450,15,77,0.03669885182522876
90210,22052,17866,298,42,1680,1387,89,690,0.8101759477598404
90211,7530,5724,112,9,931,537,0,210,0.7601593625498008
90212,12577,9423,267,0,1201,873,22,791,0.7492247753836367
