zip_code,total,white,black,indigenous,asian,latino,other,multiracial,white_percent
89010,514,341,11,8,0,154,0,0,0.6634241245136187
89019,2158,1498,104,0,72,476,0,8,0.6941612604263206
89060,9473,7326,229,35,81,1440,0,280,0.7733558534783068
89061,6160,4657,154,61,38,980,0,270,0.7560064935064935
89439,1284,1244,4,18,0,18,0,0,0.9688473520249221
90001,59832,386,5113,39,105,53929,169,91,0.006451397245621072
90002,53302,209,9762,473,433,42048,192,136,0.0039210536190011636
90003,73730,339,14870,119,171,57766,248,217,0.00459785704597857
90004,60541,10877,2114,49,15262,30446,180,1484,0.17966336862622026
90005,39732,3481,2113,111,13541,19660,209,552,0.08761200040269808
90006,59576,2707,1801,125,10837,43537,134,322,0.045437760171881295
90007,42433,6916,4425,55,8147,21672,111,1047,0.16298635495958333
90008,31754,1844,20350,60,1082,7566,210,621,0.05807142407255779
90010,3822,543,208,12,2472,370,9,172,0.14207221350078492
90011,111165,582,8147,178,617,101183,63,339,0.005235460801511267
90012,36552,6088,4877,287,13654,10464,151,953,0.166557233530313
90013,12559,3816,3550,96,2217,1984,55,765,0.30384584759933114
90014,8688,3310,2040,37,1608,1280,56,357,0.3809852670349908
90015,22651,3043,1496,12,3560,14055,38,447,0.13434285462010506
90016,45899,4344,13625,50,2369,24058,306,1098,0.09464258480576919
90017,27723,2996,2234,0,4611,17243,23,548,0.10806911228943476
90018,53490,3082,15238,7,2627,31558,187,674,0.057618246401196484
90019,64534,10842,11529,97,10829,28715,937,1553,0.16800446276381442
90020,39189,4859,2555,154,17625,12680,54,1067,0.12398887442904896
90021,2945,726,516,23,168,1412,17,83,0.24651952461799662
90022,67014,1356,227,166,753,64280,92,116,0.020234577849404602
90023,46680,608,549,9,371,45033,0,110,0.013024850042844902
90024,51627,26033,1226,60,14336,6836,130,2911,0.5042516512677475
90025,46883,26174,1979,20,9468,6614,147,2468,0.5582833863020711
90026,68906,18586,2691,85,10020,35417,79,1885,0.26972977679737614
90027,44770,26535,1006,0,5818,9857,159,1319,0.5926960017869108
90028,29774,13678,2845,105,2887,8800,297,1152,0.45939410223685095
90029,36668,9176,1251,57,6340,19277,38,465,0.25024544562015927
90031,39916,3128,615,36,9338,26410,6,365,0.07836456558773425
90032,48031,3636,745,177,5201,37560,127,578,0.07570110969998542
90033,49155,1245,841,81,2092,44687,39,157,0.025328043942630454
90034,53861,21312,5374,115,10518,13808,595,1984,0.39568518965485233
90035,27272,19310,1693,8,2027,2895,104,1225,0.708052214725726
90036,37965,23954,2203,22,6132,3975,498,1115,0.6309495588041617
90037,67640,1101,10703,103,742,54111,278,602,0.016277350680070964
90038,28580,8688,1791,27,1396,15530,135,1013,0.3039888033589923
90039,29510,11636,370,279,4564,11388,60,1168,0.39430701457133177
90040,12328,184,195,109,54,11715,15,56,0.014925373134328358
90041,29090,8682,611,50,8150,10471,101,903,0.29845307665864557
90042,63193,12064,1216,197,8295,39515,324,1536,0.19090722073647398
90043,45873,2082,27623,101,614,13872,349,1143,0.04538617487410895
90044,99443,937,32064,176,648,64665,259,659,0.009422483231600012
90045,40567,20330,4760,136,5682,7295,219,2067,0.5011462518796066
90046,50900,37185,2397,78,3097,5700,61,2302,0.7305500982318271
90047,51411,1073,30388,57,223,18279,112,1199,0.020871019820660947
90048,21489,15991,733,91,1707,1865,41,1048,0.7441481688305644
90049,36418,29433,584,52,2874,2041,81,1353,0.8081992421330112
90056,7649,871,5237,0,361,687,0,493,0.11387109426068767
90057,50152,3492,1930,139,8979,34868,89,534,0.06962832987717339
90058,2718,63,184,0,3,2452,0,9,0.023178807947019868
90059,46185,458,12823,2,118,32218,123,443,0.009916639601602252
90061,27873,369,7959,28,190,18677,117,520,0.013238618017436228
90062,35916,777,11053,43,766,22629,250,398,0.021633812228533243
90063,53980,1440,147,26,561,51677,45,66,0.02667654686921082
90064,25925,15792,738,72,4684,3598,13,993,0.6091417550626808
90065,46461,10159,931,0,7215,27017,146,989,0.2186565076085319
90066,59167,28510,2475,163,7987,16894,291,2717,0.4818564402454071
90067,2428,1806,35,0,440,76,32,39,0.7438220757825371
90068,21092,15798,789,0,1307,2222,147,818,0.749004361843353
90069,20230,15279,656,12,1453,1783,60,938,0.7552644587246663
90071,126,40,32,0,40,14,0,0,0.31746031746031744
90073,953,365,237,0,106,207,0,38,0.3830010493179433
90077,8382,6696,229,0,713,314,0,430,0.7988546886184682
90079,0,0,0,0,0,0,0,0,
90089,3786,1616,260,0,1190,561,34,105,0.42683571051241415
90090,0,0,0,0,0,0,0,0,
90094,9827,5045,646,0,2553,1215,0,368,0.5133814999491197
90095,0,0,0,0,0,0,0,0,
90201,101965,3639,1071,113,565,96154,72,239,0.03568871671652037
90210,19314,16117,229,17,1383,799,113,656,0.8344724034379207
90211,8019,5724,360,0,924,720,29,262,0.7138047138047138
90212,13314,10206,193,45,1327,749,0,794,0.7665615141955836
90220,52817,1306,17356,32,426,32326,529,636,0.02472688717647727
90221,51688,620,10640,54,453,39466,34,319,0.011995047206314812
90222,33200,406,7756,222,362,24234,0,200,0.012228915662650603
90230,32687,11810,3277,0,5120,10831,244,1367,0.3613057178694894
90232,14780,7045,742,8,2582,3622,0,781,0.4766576454668471
90240,26413,4372,321,14,1787,19514,39,366,0.1655245523037898
90241,43215,6052,1004,27,3173,32567,0,354,0.14004396621543447
90242,42694,5247,2333,42,2653,31901,139,287,0.12289783107696632
90245,16731,10375,626,0,1701,2709,70,1241,0.6201063893371586
90247,48293,3258,8564,74,11538,23823,281,737,0.06746319342347752
90248,11607,1097,1644,7,3162,5216,97,354,0.09451193245455329
90249,26429,3329,6763,0,4051,10607,144,889,0.12596011956562866
90250,97072,11397,21613,132,7358,53290,452,2292,0.11740769737926487
90254,19539,15235,192,119,1013,1831,63,1086,0.7797226060699115
90255,75019,1082,461,86,298,72937,88,54,0.014423012836748024
90260,34827,5794,3131,57,4417,20198,220,617,0.1663651764435639
90262,70536,1681,5588,227,479,62215,73,178,0.023831802200294884
90263,1838,826,105,0,412,363,0,123,0.44940152339499456
90265,17954,14382,271,38,691,1743,0,802,0.8010471204188482
90266,35500,26018,155,64,4763,2838,47,1581,0.7329014084507042
90270,27287,284,72,8,67,26838,13,5,0.010407886539377726
90272,21629,18041,86,20,1235,1009,43,1189,0.8341116094132878
90274,25061,15645,252,8,6060,2155,39,902,0.6242767646941463
90275,42146,21213,771,71,13109,4360,54,2201,0.5033217861718787
90277,34827,23132,954,84,3728,4777,156,1995,0.6641973181726821
90278,40252,22819,1374,113,6165,6722,375,2622,0.5669035079002286
90280,94642,2735,471,90,510,90459,14,186,0.0288983749286786
90290,5681,4705,127,0,358,336,0,155,0.8281992606935399
90291,26950,18305,1395,50,963,5258,76,903,0.6792207792207792
90292,23549,16341,1703,0,2475,1969,205,800,0.6939148159157501
90293,12728,7851,742,27,1631,1809,94,574,0.6168290383406663
90301,38234,1611,11209,286,799,22927,124,866,0.04213527227075378
90302,30017,2201,12235,32,636,13894,133,876,0.07332511576773162
90303,24374,697,7881,49,358,15028,85,276,0.02859604496594732
90304,25946,435,856,24,883,23083,228,91,0.01676559007168735
90305,15042,392,12138,0,188,1836,44,416,0.026060364313256215
90401,7111,4825,691,11,499,765,0,320,0.6785262269722965
90402,11882,9103,101,0,996,1186,41,455,0.766116815350951
90403,23902,17841,590,0,2321,1784,84,1252,0.746422893481717
90404,22929,10622,1656,23,3178,6398,62,961,0.4632561385145449
90405,28156,18589,968,52,2091,4397,336,1695,0.6602145191078278
90501,41975,8808,2125,94,10441,18434,368,1570,0.20983918999404408
90502,17778,2800,1036,11,6642,6634,239,407,0.15749803127460907
90503,44605,17061,1203,50,18218,5987,123,1588,0.38249075215782985
90504,33410,9057,1051,107,12356,8855,42,1813,0.2710865010475905
90505,37220,15959,855,249,13505,4673,88,1819,0.4287748522299839
90506,0,0,0,0,0,0,0,0,
90601,32053,6449,288,202,2132,22562,54,366,0.20119801578635385
90602,25581,3798,352,50,1005,19685,493,176,0.14846956725694851
90603,21584,8026,187,5,1403,11477,186,300,0.37184951816160117
90604,42911,9446,273,148,2580,29477,291,648,0.22013003658735522
90605,40192,6259,256,219,1900,30447,692,266,0.15572750796178345
90606,32987,2936,210,174,677,28778,33,155,0.0890047594506927
90620,46414,13534,1076,66,14312,15362,57,1548,0.29159305381996814
90621,35598,5614,1293,145,12054,15805,0,381,0.1577054890724198
90623,15662,4045,696,23,7237,3024,12,523,0.2582684203805389
90630,49205,17891,1838,80,17218,9885,242,1911,0.36360126003454935
90631,69064,19304,819,176,8340,39393,58,974,0.2795088613459979
90638,49227,15598,869,101,10509,20769,25,1318,0.3168586344892031
90640,62730,4396,598,139,8428,48537,63,562,0.07007811254583134
90650,105304,10861,4713,178,14247,73429,165,1010,0.10313948188103016
90660,63001,3328,487,57,1666,57125,87,199,0.0528245583403438
90670,16700,2106,588,31,1154,12470,207,135,0.12610778443113774
90680,30531,5755,412,255,9265,14116,63,526,0.1884969375388949
90701,16801,2544,850,54,6083,6694,68,458,0.15141955835962145
90703,50589,7084,4247,128,29775,7037,129,1941,0.1400304414003044
90704,3979,1825,4,0,17,2075,0,57,0.4586579542598643
90706,77195,12260,10009,162,9311,43148,334,1557,0.15881857633266402
90710,28045,4854,3791,0,6062,12011,27,746,0.17307898021037618
90712,31217,10483,3740,108,5777,10143,32,819,0.3358106160105071
90713,28202,13194,1336,28,3630,8041,61,1395,0.4678391603432381
90715,20256,3857,1777,37,5395,8584,0,387,0.19041271721958924
90716,14285,590,577,12,1410,11428,101,167,0.04130206510325516
90717,21508,8415,1273,52,3449,7276,68,893,0.39124976752836155
90720,22261,12809,766,49,3004,4519,28,1048,0.5754009253852028
90723,54513,3004,4804,27,1555,44144,134,475,0.05510612147561132
90731,60659,16589,4087,118,3084,34549,111,2038,0.273479615555812
90732,22780,11002,1239,0,2797,6982,45,625,0.48296751536435467
90740,24307,17063,506,58,2662,3145,41,770,0.7019788538281153
90742,692,593,0,13,11,64,0,11,0.8569364161849711
90743,236,195,6,0,15,5,0,0,0.826271186440678
90744,56880,2211,1571,41,1751,50588,26,498,0.03887130801687764
90745,56930,4100,4044,119,20999,24171,6,1692,0.07201826804848059
90746,27075,1633,17052,96,2192,4848,80,833,0.06031394275161588
90747,0,0,0,0,0,0,0,0,
90755,11545,3347,1286,0,2865,3671,18,337,0.2899090515374621
90802,38962,15265,5444,103,2859,13488,346,1304,0.39179200246393925
90803,32126,22076,1346,33,2462,5174,14,993,0.6871692709954554
90804,39239,10068,4733,180,6291,16810,98,995,0.2565814623206504
90805,95995,7267,17122,355,10095,57540,325,1620,0.07570185947184749
