zip_code,total,white,black,indigenous,asian,latino,other,multiracial,white_percent
89010,415,264,2,27,1,105,0,16,0.636144578313253
89019,2673,1922,83,19,118,434,8,80,0.7190422745978301
89060,10227,8101,191,98,109,1380,14,292,0.7921189009484697
89061,5252,4132,126,60,90,696,9,113,0.7867479055597868
89439,1417,1293,3,7,16,68,0,18,0.9124911785462244
90001,57110,356,5857,39,86,50544,85,129,0.0062335843109788125
90002,51223,330,12723,62,102,37598,84,303,0.006442418444839232
90003,66266,462,15672,80,105,49386,171,372,0.0069719011257658526
90004,62180,10466,1962,94,16540,31987,216,876,0.16831778706979736
90005,37681,3039,1788,35,12661,19578,81,490,0.0806507258299939
90006,59185,1861,1862,77,10822,44074,146,311,0.03144377798428656
90007,40920,7053,4306,39,6243,22167,207,871,0.17236070381231672
90008,32327,731,22152,63,820,7561,173,803,0.022612676709871004
90010,3800,723,160,3,2503,343,4,63,0.19026315789473683
90011,103892,720,9189,53,499,92879,224,320,0.00693027374581296
90012,31103,4342,4085,46,13637,8426,57,462,0.13960068160627592
90013,11772,3301,3731,103,1814,2409,34,366,0.28041114509004417
90014,7005,2158,2005,60,1135,1379,18,240,0.30806566738044255
90015,18986,1944,1240,22,2638,12875,60,198,0.10239123564731907
90016,47596,2127,17291,103,1434,25462,247,898,0.044688629296579546
90017,23768,2335,1296,58,3198,16526,67,265,0.09824133288455066
90018,49310,1833,15111,98,1777,29312,328,810,0.03717298722368688
90019,64458,8068,14712,113,10047,29701,351,1429,0.12516677526451334
90020,38967,4030,2140,42,18407,13638,132,556,0.10342084327764518
90021,3951,858,1200,29,156,1631,11,63,0.21716021260440393
90022,67179,1163,140,99,449,65152,78,86,0.01731195760579943
90023,45903,508,119,49,236,44854,62,59,0.011066814805132563
90024,47452,27197,969,36,12520,4314,117,2251,0.573147601787069
90025,42147,24328,1129,41,8288,6354,152,1817,0.577217832823214
90026,67869,14329,1752,140,11551,38701,196,1160,0.2111273188053456
90027,45151,26767,1320,86,5917,9567,118,1344,0.592832938362384
90028,28714,13991,2168,96,2324,9229,100,763,0.48725360451347777
90029,38617,7898,1075,57,6203,22660,116,587,0.20452132480513763
90031,39316,1985,399,68,9882,26643,63,261,0.05048835079865704
90032,45786,2129,843,106,4996,37372,61,267,0.04649892980387018
90033,48852,1064,690,71,2058,44703,119,138,0.021780070416769017
90034,57964,21322,5836,116,10958,17228,351,2016,0.36784900973017737
90035,28418,20373,2474,48,1768,2428,179,1131,0.7169047786614118
90036,36865,23054,2061,45,7467,2991,131,1085,0.625362810253628
90037,62276,698,13315,112,471,46954,280,424,0.011208170081572355
90038,28917,7858,1089,24,2289,17056,140,434,0.2717432652073175
90039,28514,10264,573,36,5161,11674,60,710,0.3599635266886442
90040,12520,409,60,48,134,11809,26,27,0.032667731629392974
90041,27425,8454,552,84,7631,9869,60,748,0.3082588878760255
90042,62430,8765,1289,174,7466,43697,145,854,0.14039724491430403
90043,44789,1002,28877,71,359,13049,274,1124,0.02237156444662752
90044,89779,895,32766,133,282,54351,456,829,0.009968923690395304
90045,39480,20086,5420,56,4657,7203,157,1771,0.5087639311043566
90046,48581,37931,1625,83,2592,4787,152,1373,0.7807784936497808
90047,48606,446,31446,73,235,15393,233,735,0.00917582191498992
90048,21397,16898,625,20,1552,1579,54,655,0.7897368790017292
90049,35482,28631,497,32,3048,1934,88,1229,0.8069161828532777
90056,7827,896,5828,14,253,455,30,349,0.11447553340999106
90057,44998,2410,1880,69,8915,31147,122,383,0.05355793590826259
90058,3223,148,273,9,139,2618,14,22,0.04591995035681042
90059,40952,358,13725,85,88,26242,80,319,0.008741941785504982
90061,26872,260,9767,47,82,16379,65,250,0.00967549866031557
90062,32821,370,12024,58,368,19373,226,389,0.011273270162396027
90063,55758,761,190,79,591,53975,81,79,0.01364826571971735
90064,25403,15592,630,24,4229,3825,111,969,0.6137857733338582
90065,45527,7886,773,61,6852,29101,101,723,0.1732158938651789
90066,55277,26331,1979,103,7885,16768,246,1841,0.47634640085388136
90067,2424,2006,23,2,251,88,0,52,0.8275577557755776
90068,22286,16784,967,46,1467,2199,89,723,0.7531185497621825
90069,20483,16314,583,21,1091,1831,66,555,0.7964653615193087
90071,15,4,5,0,1,5,0,0,0.26666666666666666
90073,539,231,236,2,10,55,0,3,0.42857142857142855
90077,9377,7618,138,5,769,458,31,356,0.8124133518182788
90079,0,0,0,0,0,0,0,0,
90089,3217,1425,135,1,1110,355,5,184,0.4429592788312092
90090,0,0,0,0,0,0,0,0,
90094,5464,2806,602,7,1204,549,12,273,0.5135431918008785
90095,3,1,0,0,2,0,0,0,0.3333333333333333
90201,101279,3357,608,207,565,96083,166,255,0.03314606186869933
90210,21741,18094,367,7,1245,1092,57,872,0.832252426291339
90211,8434,6214,197,6,1022,541,29,424,0.7367797012093905
90212,11555,8881,299,20,1151,681,26,493,0.7685850281263522
90220,49328,1052,19198,95,246,27720,85,516,0.021326629905935778
90221,53704,526,11719,87,96,40462,89,348,0.009794428720393267
90222,31869,228,9526,31,63,21741,29,197,0.007154287865951238
90230,31766,12197,3189,62,4587,10325,176,1148,0.3839639866523956
90232,15149,7261,946,22,2263,3932,84,605,0.47930556472374414
90240,25876,5099,559,44,2166,17702,26,242,0.1970551862729943
90241,42399,8198,1159,86,2711,29716,67,395,0.19335361683058563
90242,43497,6489,2116,82,2607,31578,126,434,0.14918270225532795
90245,16654,11515,321,40,1427,2609,56,656,0.6914254833673592
90247,47487,3040,8698,64,11755,22553,104,948,0.06401752058458104
90248,9947,1127,1449,28,3051,3949,30,246,0.11330049261083744
90249,26669,3537,7930,44,4318,10048,83,608,0.132625895234167
90250,93193,11205,22850,192,6382,49305,433,1766,0.12023435236552102
90254,19506,15780,216,28,1097,1632,52,658,0.8089818517379268
90255,75066,1211,238,45,395,72962,110,88,0.01613247009298484
90260,34924,6496,2940,100,3780,20365,144,768,0.18600389417019814
90262,69745,1539,6725,76,388,60451,167,226,0.022066097928166894
90263,1612,1005,93,2,210,214,1,83,0.6234491315136477
90265,18116,15337,301,27,627,1299,28,478,0.8465996908809892
90266,35135,27873,282,44,2992,2440,84,1376,0.7933115127365874
90270,27372,498,46,24,61,26676,28,25,0.01819377466023674
90272,22986,19881,165,20,1215,1039,61,596,0.8649177760375881
90274,25209,17523,335,26,4983,1433,47,842,0.6951088896822564
90275,41804,23424,988,54,12047,3562,92,1598,0.5603291551047747
90277,35293,25424,696,79,3491,4118,157,1271,0.720369478366815
90278,40071,24305,1220,101,5326,7004,159,1826,0.6065483766314791
90280,94396,3233,585,110,647,89442,147,163,0.03424933259883894
90290,6368,5455,80,20,196,412,23,181,0.8566268844221105
90291,28341,18885,1415,93,1214,5668,115,906,0.666349105536149
90292,21576,15917,1028,28,1969,1769,70,765,0.7377178346310715
90293,12132,8396,675,23,1196,1284,40,499,0.6920540718760303
90301,36568,1177,11510,76,686,22553,92,430,0.0321866112448042
90302,29415,1266,14297,67,345,12615,105,655,0.04303926568077512
90303,26176,351,8891,41,150,16196,78,298,0.013409229828850856
90304,28210,830,1116,37,314,25500,53,124,0.029422190712513292
90305,14853,295,12247,32,108,1725,61,360,0.019861307479970378
90401,6722,4681,362,19,696,673,30,255,0.6963701279381137
90402,12250,10348,118,9,841,548,27,345,0.8447346938775511
90403,24525,19214,440,28,2044,1790,96,893,0.7834454638124363
90404,21360,11216,1608,48,2265,5334,69,781,0.5250936329588015
90405,27186,19482,852,72,2223,3468,96,954,0.7166188479364378
90501,43180,11107,2165,92,10075,18175,130,1155,0.2572255673923113
90502,18010,3547,1227,69,5922,6441,81,479,0.1969461410327596
90503,44383,18291,1072,88,17857,5122,196,1662,0.4121172521010297
90504,32102,9946,1173,71,12085,7075,121,1471,0.3098249330259797
90505,36678,18179,760,67,11957,4093,92,1429,0.49563771197993345
90506,0,0,0,0,0,0,0,0,
90601,31974,6948,308,86,1611,22587,60,344,0.21730155751548133
90602,25777,5109,298,80,727,19274,41,226,0.19819994568801644
90603,20063,8616,131,32,937,10091,18,226,0.4294472411902507
90604,39407,10734,553,116,1886,25542,53,481,0.2723881543888142
90605,40331,7046,319,74,1295,31156,42,330,0.17470432173762118
90606,32396,3133,230,98,492,28159,70,179,0.09670947030497593
90620,45113,15876,1302,133,11268,14915,92,1270,0.35191629907122113
90621,35153,6349,1470,54,9916,16626,47,565,0.18061047421272722
90623,15554,4308,767,26,7438,2493,43,438,0.276970554198277
90630,47993,21031,1389,144,14935,8689,87,1512,0.4382097389202592
90631,67619,22352,901,155,6434,36476,96,1119,0.3305579792661826
90638,49012,18602,1016,138,8614,19471,103,954,0.37953970456214803
90640,62549,5331,380,98,6638,49629,65,371,0.08522918032262707
90650,105549,13007,4135,281,12387,74041,191,1141,0.1232318638736511
90660,62928,3272,365,114,1464,57395,50,253,0.051995931858632084
90670,14866,1851,283,60,588,11929,21,114,0.1245123099690569
90680,29945,6725,595,69,6803,15059,51,519,0.22457839372182334
90701,16591,3534,546,36,6134,5914,76,314,0.21300705201615333
90703,49399,8149,3320,51,30193,6167,83,1323,0.16496285349905868
90704,4090,1808,12,7,53,2150,4,46,0.44205378973105136
90706,76615,14971,10374,229,8720,40084,162,1508,0.19540559942569993
90710,25457,5319,3237,42,4544,11422,44,637,0.20894056644537848
90712,31499,13188,3288,99,4630,8788,80,1125,0.41867995809390773
90713,27925,15550,1221,71,2797,7098,59,947,0.5568487018800358
90715,20388,3981,2066,62,5347,8173,39,519,0.19526191877575044
90716,14184,986,478,46,1489,11004,14,118,0.06951494641849972
90717,21318,9188,1003,81,3001,7077,60,775,0.43099727929449294
90720,21751,14522,376,51,2229,3739,47,719,0.6676474644843915
90723,54099,3015,5980,86,1531,42548,61,482,0.05573115954084179
90731,59662,19325,3986,220,2482,31732,153,1510,0.32390801515202305
90732,21115,12142,886,59,1649,5602,55,691,0.5750414397347857
90740,23729,18192,259,38,2270,2286,60,575,0.7666568334105947
90742,831,693,4,6,31,70,4,21,0.8339350180505415
90743,456,381,0,0,17,45,2,8,0.8355263157894737
90744,53815,2532,1473,103,1088,47792,85,376,0.04705007897426368
90745,57251,4804,4262,108,20057,24844,107,1340,0.08391119805767584
90746,25990,1407,16577,33,1939,4947,107,630,0.0541362062331666
90747,0,0,0,0,0,0,0,0,
90755,11074,3356,1427,28,2249,3471,37,393,0.30305219432905905
90802,39347,13522,6380,175,2972,14638,132,1309,0.34366025364068414
90803,32031,23744,895,92,1810,4491,76,869,0.7412818831756736
90804,40311,9870,5568,124,6054,17163,129,1266,0.24484631986306468
90805,93524,8490,18581,217,9816,52166,204,1773,0.09077883751764253
90806,42399,3838,7404,108,8275,21360,65,849,0.09052100285384089
90807,31481,12074,5089,112,5134,7546,50,1242,0.3835329246212001
90808,38232,24376,1288,95,3071,7720,95,1399,0.6375810839087676
90810,36735,2248,4373,73,8655,19516,71,833,0.061195045596842246
90813,58911,3999,7731,163,7888,37695,126,950,0.06788205937770535
90814,19131,10788,1387,82,1402,4616,55,740,0.5639015210914223
90815,39733,24438,1813,117,4392,7168,129,1543,0.6150554954320087
90822,117,63,36,0,4,12,0,0,0.5384615384615384
90831,0,0,0,0,0,0,0,0,
91001,36126,12795,9499,79,1703,10469,164,1392,0.35417704700215913
91006,31715,8840,270,48,17504,4335,34,668,0.27873246098060855
91007,34095,8491,439,43,20072,4367,66,610,0.2490394485995014
91008,1391,823,23,0,274,240,3,28,0.5916606757728253
91010,26074,5959,1926,66,3434,14075,64,526,0.22854184244841605
91011,20280,13118,101,4,5187,1271,50,545,0.6468441814595661
91016,40598,16410,2468,97,4506,15939,101,1007,0.40420710379821667
91020,8415,4606,90,19,2295,1164,15,214,0.5473559120617945
91024,10917,7891,191,30,815,1628,39,315,0.7228176238893469
91030,25616,11179,736,25,7904,4765,81,920,0.43640693316677076
91040,20372,12836,239,61,1687,4969,50,515,0.630080502650697
91042,27585,16450,405,53,2540,7140,68,916,0.5963385898133043
91046,156,119,0,0,6,21,3,7,0.7628205128205128
91101,20460,8112,1596,36,4451,5586,69,597,0.3964809384164223
91103,27480,5210,5516,41,1900,14190,70,537,0.1895924308588064
91104,36751,15234,3708,47,2618,13836,132,1103,0.41451933280727055
91105,11254,7383,503,18,1414,1595,21,316,0.6560334103429891
91106,24229,10280,1530,36,5204,6318,82,757,0.4242849477898386
91107,32940,15389,1659,59,6333,8320,101,1058,0.46718275652701885
91108,13361,5003,54,1,7065,874,25,337,0.37444802035775765
91201,22781,15652,271,11,2010,3877,58,893,0.687063781221193
91202,22830,15731,303,15,3579,2342,48,802,0.6890494962768288
91203,13220,7826,175,29,2276,2312,19,578,0.591981845688351
91204,16032,7013,282,33,2939,5362,34,352,0.437437624750499
91205,37810,20989,470,20,5543,9599,69,1109,0.555117693731817
91206,33065,20743,498,35,5701,4822,58,1177,0.6273400877060336
91207,10506,7775,80,9,1212,1081,25,322,0.7400533028745478
91208,16245,11212,110,12,2593,1774,21,520,0.690181594336719
91210,328,174,8,0,113,30,2,1,0.5304878048780488
91214,30356,17707,176,44,8190,3320,44,861,0.5833113717222296
91301,25488,20204,318,34,1817,2325,54,712,0.7926867545511613
91302,25709,20681,418,43,2025,1621,78,836,0.8044264654401182
91303,26855,5958,1033,44,2766,16416,85,511,0.22185812697821636
91304,50231,19471,2384,87,6655,20160,115,1299,0.38762915331169995
91306,45061,12527,1924,66,7951,21370,135,1049,0.2780009320698609
91307,24474,16413,678,31,3131,3323,45,838,0.6706300563863692
91311,36557,19873,1475,95,5959,7934,91,1078,0.543616817572558
91316,26898,19625,929,33,1609,3348,49,1277,0.729608149304781
91320,44274,30185,507,80,4610,7479,98,1276,0.6817771152369336
91321,34882,15052,907,102,2053,15934,86,697,0.43151195458975977
91324,27669,10655,1252,49,4818,10010,86,757,0.38508800462611587
91325,32417,13667,1732,51,5409,10429,120,936,0.4215997778943147
91326,33708,16979,1087,37,9926,4504,101,1048,0.5037083185000594
91330,2702,710,671,10,320,867,4,118,0.2627683197631384
91331,103689,4358,2991,164,4383,91023,183,510,0.04202953061559085
91335,74363,22785,2685,139,9035,37606,230,1819,0.30640237752645805
91340,34188,1579,544,85,327,31452,27,154,0.046185796185796185
91342,91725,12864,4113,269,4879,68444,173,934,0.14024529844644318
91343,60254,12730,2406,71,8417,35438,187,916,0.21127228067846118
91344,51747,24629,1676,78,8914,14841,162,1407,0.47595029663555377
91345,18496,3471,611,48,1716,12329,54,239,0.18766219723183392
91350,33348,20731,864,94,3021,7636,96,866,0.6216564711526928
91351,32362,14691,1178,83,2212,13162,109,880,0.45395834620851616
91352,47807,8132,718,85,2947,35314,91,451,0.17010061288095885
91354,28722,17722,886,47,4543,4491,43,953,0.6170183134879187
91355,32605,21538,861,67,3414,5712,96,886,0.6605735316669222
91356,29458,20852,1212,50,1889,4089,73,1249,0.707855251544572
91360,42402,29371,479,99,2683,8603,91,1016,0.6926795905853498
91361,20438,16652,205,29,1317,1644,45,525,0.8147568255210882
91362,36045,25961,472,46,3206,5376,68,888,0.7202385906505757
91364,25851,19467,981,38,1617,2522,74,1137,0.7530463038180342
91367,39499,26753,1757,88,4839,4375,101,1534,0.6773082862857287
91371,1,1,0,0,0,0,0,0,1.0
91377,13811,10903,138,15,1553,826,17,351,0.789443197451307
91381,20158,10842,652,57,4753,3091,61,676,0.537850977279492
91384,29855,13318,2745,54,2232,10654,88,733,0.44608943225590353
91387,40328,18796,2475,106,4158,13488,101,1144,0.46607815909541755
91390,19786,13402,549,62,1310,3783,40,621,0.6773476195289598
91401,39285,17883,1635,69,2067,16675,123,808,0.4552119129438717
91402,69817,6792,1830,94,9772,50328,183,758,0.09728289671569962
91403,23484,17196,1119,21,1717,2537,75,798,0.7322432294328053
91405,51145,12574,2414,69,4022,30942,218,847,0.24585003421644344
91406,51558,15135,2531,112,3890,28646,209,976,0.29355289188874667
91411,24628,8457,1261,66,1545,12699,95,490,0.34338963781062204
91423,30991,22654,1494,45,1968,3714,103,984,0.7309864154109258
91436,14372,12025,275,9,733,850,29,442,0.8366963540217088
91501,20849,14255,443,20,2493,2834,50,740,0.6837258381696963
91502,11371,5486,396,31,1227,3793,23,399,0.4824553689209392
91504,24939,13906,500,28,3278,6423,64,716,0.5576005453306067
91505,30778,17778,811,76,3187,8077,75,760,0.5776203781922152
91506,18904,10863,388,43,1938,5075,44,542,0.5746402877697842
91601,37180,14511,2707,89,2412,16291,149,984,0.3902904787520172
91602,17473,11947,1051,47,1179,2591,57,592,0.6837406283980999
91604,29034,22455,1148,52,1921,2471,76,888,0.773403595784253
91605,56343,12452,1691,97,5426,35668,206,777,0.22100349644143905
91606,44958,14428,1483,73,2270,25693,167,775,0.32092174918813116
91607,27927,18523,1390,60,1554,5463,111,805,0.6632649407383535
91608,0,0,0,0,0,0,0,0,
91701,38976,20907,2113,98,2818,11908,57,991,0.5364070197044335
91702,59705,10349,1459,146,4426,42430,77,743,0.17333556653546603
91706,76571,3313,668,92,10529,61452,97,353,0.04326703321100678
91708,3369,1015,530,55,483,1119,8,136,0.3012763431285248
91709,74796,25015,3225,143,22351,21801,180,1982,0.3344430183432269
91710,80358,22454,4082,221,7825,44236,207,1230,0.2794245750267553
91711,35705,21028,1594,80,4584,7087,71,1226,0.5889371236521496
91722,34409,7554,1131,106,3679,21329,57,505,0.2195355866197797
91723,18275,5503,708,51,1786,9831,34,330,0.3011217510259918
91724,26184,9547,847,67,3201,11873,78,531,0.3646119767797128
91730,66925,23622,7194,183,6217,27584,209,1751,0.35296227119910345
91731,29591,1745,177,51,7447,19991,23,127,0.05897063296272515
91732,61386,3116,292,64,15158,42354,47,314,0.0507607597823608
91733,43896,1408,65,42,7871,34270,86,134,0.03207581556406051
91737,24740,12847,1859,45,2208,6882,43,819,0.5192805173807599
91739,34794,13269,3324,83,5523,11367,99,1032,0.38135885497499566
91740,25356,11950,613,59,2137,9890,56,621,0.4712888468212652
91741,25824,17327,234,45,1842,5714,56,593,0.6709649938042132
91744,85040,4429,1052,137,7041,71739,107,450,0.05208137347130762
91745,54013,8029,644,68,19875,24593,70,671,0.1486493992187066
91746,30485,1515,387,49,2207,26131,43,118,0.04969657208463179
91748,45406,4404,599,41,27006,12579,24,697,0.09699158701493195
91750,33249,18377,1158,118,2433,10287,59,761,0.5527083521308912
91752,30047,8385,1670,87,2036,17188,47,564,0.2790628016108097
91754,32742,1659,118,39,20418,10030,32,438,0.050668865677111964
91755,27496,1337,76,12,19537,6178,19,326,0.04862525458248473
91759,476,406,1,7,12,46,1,3,0.8529411764705882
91761,56913,10913,3805,118,3519,37471,137,799,0.19174880958656196
91762,55857,10770,2416,123,2443,39133,161,663,0.19281379236264032
91763,36375,5260,1696,88,3289,25484,63,435,0.14460481099656358
91764,54086,8630,3439,130,2295,38689,111,641,0.15956069962652072
91765,46457,10180,1979,61,23858,9133,71,1105,0.21912736509029856
91766,71599,6639,3453,140,7231,53115,133,777,0.09272475872568052
91767,48068,7630,4334,127,3209,31810,98,791,0.15873346093034868
91768,34537,5034,2362,55,2066,24381,51,522,0.1457567246720908
91770,62097,3024,250,73,36400,21838,29,468,0.04869800473452824
91773,33119,17240,1011,76,3377,10463,58,858,0.5205471179685377
91775,23988,6154,300,24,11181,5785,37,495,0.2565449391362348
91776,38475,2558,326,60,24323,10723,40,425,0.06648473034437946
