zip_code,total,white,black,indigenous,asian,latino,other,multiracial,white_percent,year
90230,31766,12197,3189,62,4587,10325,176,1148,0.3839639866523956,2010
90232,15149,7261,946,22,2263,3932,84,605,0.4793055647237441,2010
90240,25876,5099,559,44,2166,17702,26,242,0.1970551862729943,2010
90241,42399,8198,1159,86,2711,29716,67,395,0.1933536168305856,2010
90242,43497,6489,2116,82,2607,31578,126,434,0.1491827022553279,2010
90245,16654,11515,321,40,1427,2609,56,656,0.6914254833673592,2010
90247,47487,3040,8698,64,11755,22553,104,948,0.064017520584581,2010
90248,9947,1127,1449,28,3051,3949,30,246,0.1133004926108374,2010
90249,26669,3537,7930,44,4318,10048,83,608,0.132625895234167,2010
90250,93193,11205,22850,192,6382,49305,433,1766,0.120234352365521,2010
90254,19506,15780,216,28,1097,1632,52,658,0.8089818517379268,2010
90255,75066,1211,238,45,395,72962,110,88,0.0161324700929848,2010
90260,34924,6496,2940,100,3780,20365,144,768,0.1860038941701981,2010
90262,69745,1539,6725,76,388,60451,167,226,0.0220660979281668,2010
90263,1612,1005,93,2,210,214,1,83,0.6234491315136477,2010
90265,18116,15337,301,27,627,1299,28,478,0.8465996908809892,2010
90266,35135,27873,282,44,2992,2440,84,1376,0.7933115127365874,2010
90270,27372,498,46,24,61,26676,28,25,0.0181937746602367,2010
90272,22986,19881,165,20,1215,1039,61,596,0.8649177760375881,2010
90274,25209,17523,335,26,4983,1433,47,842,0.6951088896822564,2010
90275,41804,23424,988,54,12047,3562,92,1598,0.5603291551047747,2010
90277,35293,25424,696,79,3491,4118,157,1271,0.720369478366815,2010
90278,40071,24305,1220,101,5326,7004,159,1826,0.6065483766314791,2010
90280,94396,3233,585,110,647,89442,147,163,0.0342493325988389,2010
90290,6368,5455,80,20,196,412,23,181,0.8566268844221105,2010
90291,28341,18885,1415,93,1214,5668,115,906,0.666349105536149,2010
90292,21576,15917,1028,28,1969,1769,70,765,0.7377178346310715,2010
90293,12132,8396,675,23,1196,1284,40,499,0.6920540718760303,2010
90301,36568,1177,11510,76,686,22553,92,430,0.0321866112448042,2010
90302,29415,1266,14297,67,345,12615,105,655,0.0430392656807751,2010
90303,26176,351,8891,41,150,16196,78,298,0.0134092298288508,2010
90304,28210,830,1116,37,314,25500,53,124,0.0294221907125132,2010
90305,14853,295,12247,32,108,1725,61,360,0.0198613074799703,2010
90401,6722,4681,362,19,696,673,30,255,0.6963701279381137,2010
90402,12250,10348,118,9,841,548,27,345,0.8447346938775511,2010
90403,24525,19214,440,28,2044,1790,96,893,0.7834454638124363,2010
90404,21360,11216,1608,48,2265,5334,69,781,0.5250936329588015,2010
90405,27186,19482,852,72,2223,3468,96,954,0.7166188479364378,2010
90501,43180,11107,2165,92,10075,18175,130,1155,0.2572255673923113,2010
90502,18010,3547,1227,69,5922,6441,81,479,0.1969461410327596,2010
90503,44383,18291,1072,88,17857,5122,196,1662,0.4121172521010297,2010
90504,32102,9946,1173,71,12085,7075,121,1471,0.3098249330259797,2010
90505,36678,18179,760,67,11957,4093,92,1429,0.4956377119799334,2010
90506,0,0,0,0,0,0,0,0,,2010
90601,31974,6948,308,86,1611,22587,60,344,0.2173015575154813,2010
90602,25777,5109,298,80,727,19274,41,226,0.1981999456880164,2010
90603,20063,8616,131,32,937,10091,18,226,0.4294472411902507,2010
90604,39407,10734,553,116,1886,25542,53,481,0.2723881543888142,2010
90605,40331,7046,319,74,1295,31156,42,330,0.1747043217376211,2010
90606,32396,3133,230,98,492,28159,70,179,0.0967094703049759,2010
90620,45113,15876,1302,133,11268,14915,92,1270,0.3519162990712211,2010
90621,35153,6349,1470,54,9916,16626,47,565,0.1806104742127272,2010
90623,15554,4308,767,26,7438,2493,43,438,0.276970554198277,2010
90630,47993,21031,1389,144,14935,8689,87,1512,0.4382097389202592,2010
90631,67619,22352,901,155,6434,36476,96,1119,0.3305579792661826,2010
90638,49012,18602,1016,138,8614,19471,103,954,0.379539704562148,2010
90640,62549,5331,380,98,6638,49629,65,371,0.085229180322627,2010
90650,105549,13007,4135,281,12387,74041,191,1141,0.1232318638736511,2010
90660,62928,3272,365,114,1464,57395,50,253,0.051995931858632,2010
90670,14866,1851,283,60,588,11929,21,114,0.1245123099690569,2010
90680,29945,6725,595,69,6803,15059,51,519,0.2245783937218233,2010
90701,16591,3534,546,36,6134,5914,76,314,0.2130070520161533,2010
90703,49399,8149,3320,51,30193,6167,83,1323,0.1649628534990586,2010
90704,4090,1808,12,7,53,2150,4,46,0.4420537897310513,2010
90706,76615,14971,10374,229,8720,40084,162,1508,0.1954055994256999,2010
90710,25457,5319,3237,42,4544,11422,44,637,0.2089405664453784,2010
90712,31499,13188,3288,99,4630,8788,80,1125,0.4186799580939077,2010
90713,27925,15550,1221,71,2797,7098,59,947,0.5568487018800358,2010
90715,20388,3981,2066,62,5347,8173,39,519,0.1952619187757504,2010
90716,14184,986,478,46,1489,11004,14,118,0.0695149464184997,2010
90717,21318,9188,1003,81,3001,7077,60,775,0.4309972792944929,2010
90720,21751,14522,376,51,2229,3739,47,719,0.6676474644843915,2010
90723,54099,3015,5980,86,1531,42548,61,482,0.0557311595408417,2010
90731,59662,19325,3986,220,2482,31732,153,1510,0.323908015152023,2010
90732,21115,12142,886,59,1649,5602,55,691,0.5750414397347857,2010
90740,23729,18192,259,38,2270,2286,60,575,0.7666568334105947,2010
90742,831,693,4,6,31,70,4,21,0.8339350180505415,2010
90743,456,381,0,0,17,45,2,8,0.8355263157894737,2010
90744,53815,2532,1473,103,1088,47792,85,376,0.0470500789742636,2010
90745,57251,4804,4262,108,20057,24844,107,1340,0.0839111980576758,2010
90746,25990,1407,16577,33,1939,4947,107,630,0.0541362062331666,2010
90747,0,0,0,0,0,0,0,0,,2010
90755,11074,3356,1427,28,2249,3471,37,393,0.303052194329059,2010
90802,39347,13522,6380,175,2972,14638,132,1309,0.3436602536406841,2010
90803,32031,23744,895,92,1810,4491,76,869,0.7412818831756736,2010
90804,40311,9870,5568,124,6054,17163,129,1266,0.2448463198630646,2010
90805,93524,8490,18581,217,9816,52166,204,1773,0.0907788375176425,2010
90806,42399,3838,7404,108,8275,21360,65,849,0.0905210028538408,2010
90807,31481,12074,5089,112,5134,7546,50,1242,0.3835329246212001,2010
90808,38232,24376,1288,95,3071,7720,95,1399,0.6375810839087676,2010
90810,36735,2248,4373,73,8655,19516,71,833,0.0611950455968422,2010
90813,58911,3999,7731,163,7888,37695,126,950,0.0678820593777053,2010
90814,19131,10788,1387,82,1402,4616,55,740,0.5639015210914223,2010
90815,39733,24438,1813,117,4392,7168,129,1543,0.6150554954320087,2010
90822,117,63,36,0,4,12,0,0,0.5384615384615384,2010
90831,0,0,0,0,0,0,0,0,,2010
91001,36126,12795,9499,79,1703,10469,164,1392,0.3541770470021591,2010
91006,31715,8840,270,48,17504,4335,34,668,0.2787324609806085,2010
91007,34095,8491,439,43,20072,4367,66,610,0.2490394485995014,2010
91008,1391,823,23,0,274,240,3,28,0.5916606757728253,2010
91010,26074,5959,1926,66,3434,14075,64,526,0.228541842448416,2010
91011,20280,13118,101,4,5187,1271,50,545,0.6468441814595661,2010
91016,40598,16410,2468,97,4506,15939,101,1007,0.4042071037982166,2010
91020,8415,4606,90,19,2295,1164,15,214,0.5473559120617945,2010
91024,10917,7891,191,30,815,1628,39,315,0.7228176238893469,2010
91030,25616,11179,736,25,7904,4765,81,920,0.4364069331667707,2010
91040,20372,12836,239,61,1687,4969,50,515,0.630080502650697,2010
91042,27585,16450,405,53,2540,7140,68,916,0.5963385898133043,2010
91046,156,119,0,0,6,21,3,7,0.7628205128205128,2010
91101,20460,8112,1596,36,4451,5586,69,597,0.3964809384164223,2010
