zip_code,total,white,black,indigenous,asian,latino,other,multiracial,white_percent
90249,26286,3563,7341,38,3824,9702,227,908,0.13554743970174238
90250,97371,10175,21032,112,7214,53463,459,4232,0.10449723223547051
90254,19750,15625,236,198,1191,1781,88,631,0.7911392405063291
90255,75636,1139,514,56,458,73173,65,88,0.015058966629647258
90260,35614,6078,3265,38,3996,20710,175,960,0.17066322232829786
90262,71306,1585,5717,204,646,62744,46,124,0.02222814349423611
90263,1868,747,103,5,547,351,10,105,0.3998929336188437
90265,18119,14355,359,51,880,1665,5,797,0.7922622661294774
90266,35698,26678,165,62,3771,3054,218,1750,0.7473247800997255
90270,27597,410,132,12,50,26963,18,12,0.014856687321085625
90272,22927,18989,106,20,1258,1275,22,1255,0.8282374492955904
90274,25374,15715,281,23,6017,2288,65,975,0.6193347521084575
90275,42606,22544,829,17,12181,4541,69,2131,0.5291273529549829
90277,34922,24812,720,74,3120,4763,144,1278,0.710497680545215
90278,40808,23040,1359,102,5776,7451,408,2640,0.5645951774161929
90280,95420,3033,575,36,555,90884,25,183,0.03178578914273737
90290,5714,4952,45,24,243,253,46,151,0.8666433321666084
90291,27170,18660,1505,44,902,5216,86,742,0.6867868973132131
90292,22328,15986,1648,0,1910,1665,396,626,0.7159620207810821
90293,12762,8016,639,16,1585,1716,86,704,0.6281147155618242
90301,37518,1312,11309,144,533,23413,171,607,0.03496988112372728
90302,30892,1821,13837,27,439,14015,127,591,0.05894730027191506
90303,24658,595,8357,16,294,14864,48,484,0.024130099764782222
90304,25937,575,843,7,702,23695,93,22,0.022169102054979375
90305,15574,398,11898,0,154,2729,24,326,0.025555412867599846
90401,7485,4992,504,10,681,1011,0,287,0.6669338677354709
90402,11681,9307,122,0,950,852,55,395,0.7967639756870131
90403,24764,18453,512,32,2272,2421,61,968,0.7451542561783234
90404,22586,10685,1758,14,2724,6361,78,939,0.47308066944124677
90405,28305,18503,951,29,2601,4471,134,1616,0.6537007595831126
90501,43008,9480,2696,143,10615,18171,231,1395,0.22042410714285715
90502,18010,2650,1344,33,6132,7299,20,487,0.14714047751249307
90503,45349,18291,935,108,18268,4972,138,2253,0.40333855211801806
90504,33422,8966,1121,117,12795,8331,134,1872,0.26826641134582013
90505,37368,17019,688,54,13043,4713,98,1657,0.4554431599229287
90506,0,0,0,0,0,0,0,0,
90601,34025,6372,387,132,2153,24622,132,227,0.18727406318883175
90602,26482,4358,376,50,998,20259,251,158,0.16456460992372177
90603,20697,7948,229,0,948,11122,51,367,0.38401700729574334
90604,41369,9510,239,114,2220,28336,290,633,0.22988227900118446
90605,41818,6424,344,99,1914,32225,425,387,0.15361805920895308
90606,32599,2741,290,322,654,28439,19,110,0.08408233381392068
90620,46038,13991,866,55,13470,15831,73,1371,0.3039011251574786
90621,36074,6358,1713,146,10338,16862,0,393,0.176248821866164
90623,15882,4168,833,83,7376,2753,11,529,0.2624354615287747
90630,49249,19407,1947,179,16071,9802,156,1500,0.3940587626144693
90631,69579,19962,708,154,8750,38998,120,859,0.28689690854999356
90638,49797,16584,1058,144,9467,20824,62,1611,0.33303211036809444
90640,63547,4646,767,152,8107,49359,0,472,0.0731112404991581
90650,106404,11457,4077,428,14195,74886,217,913,0.1076745235141536
90660,63694,3735,457,241,1902,57005,67,237,0.058639746286934406
90670,16642,1619,663,63,845,13174,205,73,0.09728398029083044
90680,30530,6132,367,161,8170,15143,8,389,0.20085162135604323
90701,16912,3136,693,56,6101,6279,26,594,0.18543046357615894
90703,50877,7680,3612,120,30536,7037,83,1608,0.15095229671560823
90704,3940,1214,15,10,2,2615,0,83,0.3081218274111675
90706,77852,12780,9999,123,10310,42875,210,1243,0.16415763243076606
90710,28667,5022,3780,9,5707,12882,30,776,0.17518400948826177
90712,31471,11368,2902,137,5120,10282,222,894,0.3612214419624416
90713,28927,14129,1275,19,3483,8173,68,1252,0.4884364088913472
90715,20313,3919,1624,51,5794,8346,62,421,0.19293063555358636
90716,14409,905,790,0,1508,11064,53,89,0.06280796724269554
90717,21740,9244,912,64,3541,7020,76,873,0.42520699172033116
90720,22318,13241,547,78,2439,4662,19,1262,0.5932879290258983
90723,55020,2699,4789,151,1619,44829,66,328,0.04905488913122501
90731,61789,17359,4223,76,3005,34461,105,2400,0.2809399731343767
