zip_code,total,white,black,indigenous,asian,latino,other,multiracial,white_percent
89010,368,181,0,36,0,146,0,5,0.49184782608695654
89019,1843,1411,49,0,151,232,0,0,0.7655995659251221
89060,9831,7412,436,36,49,1703,58,120,0.7539416132641644
89061,4938,3461,166,31,451,731,0,57,0.7008910490076954
89439,1563,1423,0,0,0,120,0,20,0.910428662827895
90001,56314,390,5112,17,74,50578,12,131,0.006925453706005611
90002,50098,407,12153,53,151,37165,6,145,0.00812407680945347
90003,66913,331,16214,125,241,49590,55,336,0.00494672186271726
90004,63547,11034,2053,70,16118,32302,549,1231,0.17363526208947708
90005,38638,3281,1453,98,12819,20398,189,392,0.08491640354055593
90006,61419,2079,1767,58,11040,45804,67,321,0.03384946026473892
90007,43779,7554,4376,21,8082,22815,218,570,0.17254848214897553
90008,33012,670,22624,62,1065,7322,225,950,0.020295650066642433
90010,3792,590,69,10,2793,330,0,0,0.15559071729957805
90011,102926,476,7909,81,602,93072,272,355,0.004624681810232594
90012,30029,4933,3490,60,13012,7804,50,476,0.16427453461653735
90013,10575,2762,3446,23,1775,1922,165,482,0.2611820330969267
90014,6659,2807,1300,53,1081,1196,46,143,0.4215347649797267
90015,18226,2107,1078,8,2801,12098,0,123,0.11560408208054428
90016,47786,2321,17554,109,1486,25136,270,899,0.04857071108692922
90017,23719,2950,1079,62,3401,16045,0,38,0.12437286563514482
90018,48852,2134,15166,23,1652,28463,686,728,0.04368296077949726
90019,67606,9653,14252,60,10059,31708,269,1527,0.142783184924415
90020,39102,4429,1898,98,17774,14106,54,611,0.113267863536392
90021,2913,527,662,30,136,1465,0,93,0.1809131479574322
90022,69516,829,231,51,542,67798,25,40,0.011925312158352033
90023,45886,1082,262,22,422,44070,0,28,0.0235801769602929
90024,50117,28117,1379,79,13815,4554,217,1912,0.5610271963605163
90025,45284,24372,831,0,9684,8411,47,1773,0.5382033389276566
90026,67986,15815,1875,178,11059,37770,225,1001,0.23262142205748243
90027,46025,27064,1211,21,6332,9789,217,1357,0.5880282455187398
90028,29994,15038,1853,197,2205,9962,53,675,0.5013669400546776
90029,40161,8809,1070,7,6281,23233,119,642,0.2193421478548841
90031,39333,1871,306,96,10152,26426,98,278,0.04756819973050619
90032,47309,3220,711,56,4344,38681,50,203,0.06806315922974487
90033,48567,1053,625,44,2486,44246,0,37,0.021681388597195626
90034,58968,22608,4822,75,10966,17704,262,2375,0.3833943833943834
90035,31399,21263,2735,106,2511,3291,189,1297,0.6771871715659734
90036,36425,22390,1250,65,7636,3451,149,1383,0.6146877144818119
90037,61536,1079,11882,36,639,47278,169,453,0.01753445137805512
90038,28798,8303,1419,10,1755,16571,64,626,0.28831863323841933
90039,27843,10537,631,16,4880,10923,21,785,0.37844341486190425
90040,12830,252,118,10,123,12282,18,27,0.019641465315666407
90041,28439,8645,353,9,8170,10531,35,677,0.3039839656809311
90042,61034,9108,1723,100,7090,41891,45,1005,0.1492282989808959
90043,43118,1574,25789,82,674,13224,254,1490,0.0365044760888724
90044,88412,1005,32005,20,354,53605,183,1152,0.011367235216938876
90045,41453,21224,5667,102,5220,7119,112,1911,0.5120015439172074
90046,51329,38513,2024,150,2886,5121,348,2217,0.7503165851662803
90047,46999,556,30500,27,317,14632,125,763,0.01183003893699866
90048,22409,17381,505,10,2124,1665,28,688,0.77562586460797
90049,35262,28254,261,20,3195,2301,16,1199,0.8012591458226986
90056,8380,1007,6256,71,235,421,0,305,0.12016706443914081
90057,45747,2168,2182,46,9009,31984,82,254,0.04739108575425711
90058,2748,55,320,0,227,2146,0,0,0.020014556040756915
90059,42470,407,13845,120,287,27411,204,109,0.00958323522486461
90061,28641,307,10411,7,38,17684,71,123,0.010718899479766768
90062,32675,359,11462,2,270,19775,496,271,0.010986993114001531
90063,54353,562,162,30,685,52623,121,132,0.010339815649550162
90064,25788,15611,729,9,4850,3623,133,804,0.6053590817434465
90065,46254,8867,636,56,6547,29048,118,938,0.19170233925714533
90066,58337,26968,2730,185,8260,17985,196,1936,0.46227951385912885
90067,2364,1929,6,0,284,32,32,53,0.815989847715736
90068,21943,15803,1168,107,1695,2107,83,980,0.7201841133846785
90069,20426,14901,619,20,1049,2824,132,881,0.7295114070302555
90071,0,0,0,0,0,0,0,0,
90073,801,334,259,0,16,146,8,36,0.41697877652933835
90077,8328,6826,99,0,591,559,14,239,0.8196445725264169
90079,0,0,0,0,0,0,0,0,
90089,3326,1588,70,4,1097,358,33,170,0.47745039085989177
90090,0,0,0,0,0,0,0,0,
90094,6062,2699,822,0,1668,477,0,396,0.44523259650280433
90095,0,0,0,0,0,0,0,0,
90201,102515,3092,698,108,653,97775,46,91,0.030161439789299128
90210,21478,17688,251,33,1439,1440,30,597,0.8235403668870472
90211,8080,6327,125,8,958,476,0,176,0.7830445544554455
90212,12415,9087,295,0,1328,796,32,846,0.7319371727748691
90220,50222,1086,18904,78,482,28888,101,550,0.021623989486679145
90221,53657,605,11296,49,272,41110,38,239,0.011275322884246231
90222,32362,190,9469,40,82,21866,159,372,0.005871083369383846
90230,33090,12657,2295,19,5298,11256,369,1162,0.38250226654578423
90232,15353,7273,1170,0,1826,4436,29,605,0.4737184915000326
90240,26287,5202,671,0,1652,18589,25,148,0.19789249438886142
90241,43596,7399,1276,40,3041,31108,105,615,0.16971740526653822
90242,43199,6095,2064,144,2865,31461,41,360,0.1410912289636334
90245,16839,11443,215,27,1052,3004,17,880,0.6795534176613813
90247,47374,2849,9697,34,12319,21205,111,846,0.06013847257989614
90248,9936,919,1517,14,2957,4188,5,322,0.09249194847020933
90249,27451,3925,7675,52,4530,9902,400,870,0.14298204072711376
90250,95223,11103,22228,61,6394,50719,325,3753,0.11659998109700387
90254,19725,15857,257,101,1119,1691,79,621,0.8039036755386565
90255,76206,763,195,63,658,74245,49,75,0.01001233498674645
90260,35854,5675,2360,20,3778,22501,81,1189,0.1582808054889273
90262,70650,1428,5763,48,441,62705,103,154,0.02021231422505308
90263,1987,919,74,9,442,380,8,152,0.46250629089079015
90265,17660,14443,333,28,832,1426,4,585,0.817836919592299
90266,35534,27588,224,94,3192,2934,72,1414,0.776383182304272
90270,27663,400,100,4,29,27088,11,15,0.01445974767740303
90272,23497,20001,297,75,1279,1052,8,768,0.8512150487296251
90274,25482,16855,614,72,5600,1297,80,955,0.661447296130602
90275,42420,23885,1085,82,11854,3306,218,1910,0.563059877416313
90277,34546,24103,686,61,3545,5008,77,1056,0.6977074046199271
90278,40839,23845,1386,79,5358,7681,191,2229,0.5838781556845173
90280,95515,2700,568,11,733,91292,66,77,0.028267811338533216
90290,6902,5701,40,17,138,697,45,251,0.825992465951898
90291,27803,18656,1385,25,1435,4957,48,1248,0.6710067258928892
90292,21507,15839,1027,0,1721,1942,179,642,0.7364578974287441
90293,11997,7188,985,34,1429,1874,22,465,0.5991497874468618
90301,36714,1512,10822,10,572,23022,133,576,0.04118319986925968
90302,30219,1486,14578,19,393,12861,71,640,0.049174360501671135
90303,26453,315,8596,18,193,16658,26,515,0.01190791214607039
90304,26936,695,1105,121,391,24565,22,23,0.025801900801900802
90305,15501,311,12648,44,141,1777,90,429,0.020063221727630476
90401,7035,4541,298,8,732,1130,14,312,0.6454868514570007
90402,11503,9566,150,0,624,651,91,421,0.8316091454403199
90403,25116,19730,569,30,2191,1893,0,643,0.7855550246854595
90404,21641,11117,1442,0,2563,5644,56,810,0.5137008456171157
90405,28535,19170,1121,0,2834,4132,26,1242,0.6718065533555283
90501,43407,10334,2592,110,10115,18749,19,1238,0.2380722003363513
90502,17135,3040,1497,14,5373,5888,49,473,0.17741464838050774
90503,45518,18841,1384,106,17492,5352,201,2003,0.41392416187002945
90504,32777,9465,1151,55,13221,6623,246,1947,0.2887695640235531
90505,37381,18659,640,52,11669,4364,78,1879,0.4991573259142345
90506,0,0,0,0,0,0,0,0,
90601,34143,6628,333,45,2058,24604,172,303,0.19412471077526872
90602,26676,5192,318,76,659,20112,0,309,0.19463187884240515
90603,20475,7857,135,9,914,11150,26,338,0.38373626373626374
90604,39541,10618,217,157,2085,25577,301,586,0.2685313977896361
90605,42103,6634,288,152,1637,32542,203,620,0.15756596917084292
90606,32978,3077,281,209,537,28702,19,133,0.09330462732730911
90620,45992,15662,871,16,12679,15058,20,1130,0.3405374847799617
90621,35478,5627,2273,54,11301,15855,54,251,0.15860533288234963
90623,15767,4501,794,117,7252,2576,0,415,0.2854696518044016
90630,48844,20865,1405,122,15620,9049,108,1507,0.42717631643600035
90631,68899,21891,634,138,6275,38708,149,1042,0.3177259466755686
90638,49543,17427,1057,157,9404,20207,86,1105,0.35175504107542943
90640,63400,5939,650,124,7953,48213,64,396,0.0936750788643533
90650,106521,12357,4101,394,13525,74897,217,787,0.11600529473061649
90660,63686,3070,503,279,1675,57886,28,208,0.0482052570423641
90670,15594,1753,618,55,787,12251,20,110,0.11241503142234192
90680,30770,6683,861,58,7226,15071,0,780,0.21719207019824505
90701,16698,3250,627,79,6012,6364,13,353,0.19463408791472034
90703,50069,8019,3513,109,30549,6313,195,1250,0.16015898060676267
90704,3952,1097,10,10,18,2759,0,58,0.277580971659919
90706,77455,14769,10589,145,8503,42002,230,1057,0.19067845845975082
90710,27550,5423,2790,9,4452,13223,12,1361,0.1968421052631579
90712,32015,11643,2673,119,4626,10707,305,1298,0.3636732781508668
90713,28411,15201,1106,36,2842,7935,67,1063,0.5350392453627116
90715,20283,3960,1707,37,5576,8208,83,657,0.19523739091850317
90716,14358,1349,497,10,1686,10667,28,121,0.09395458977573479
90717,21612,8395,583,51,3296,7844,0,1308,0.3884416065148991
90720,22325,14515,381,91,2603,3455,12,1237,0.6501679731243001
90723,54813,3011,5514,57,1527,43809,5,403,0.05493222410741977
90731,62348,19661,4041,160,2779,33033,90,2253,0.31534291396676717
90732,19810,11274,477,61,1771,5139,52,1028,0.5691065118626956
90740,24288,17933,131,31,2163,3387,25,600,0.7383481554677207
90742,842,696,0,11,53,82,0,0,0.8266033254156769
90743,330,194,0,0,0,114,0,22,0.5878787878787879
90744,58061,2638,1296,172,1281,51978,1,266,0.04543497356228794
90745,57727,4658,4104,79,20616,24934,29,1932,0.08069014499281099
90746,26738,1294,14441,40,2001,6317,54,2164,0.04839554192534969
90747,0,0,0,0,0,0,0,0,
90755,11400,3111,1456,37,2553,3554,19,608,0.27289473684210525
90802,38816,13171,6399,123,3473,14331,50,1056,0.3393188375927453
90803,30805,22366,788,17,1916,4725,91,858,0.726050965752313
90804,40679,10359,4797,67,5326,18802,8,1172,0.2546522775879446
90805,94561,8215,19337,293,10978,51989,503,2112,0.08687513879929358
90806,43140,3733,6932,269,7160,21769,43,2434,0.08653222067686601
90807,33726,11458,5910,97,6262,8636,53,1113,0.33973788768309315
