zip_code,total,white,black,indigenous,asian,latino,other,multiracial,white_percent
89010,458,316,9,7,0,122,0,4,0.6899563318777293
89019,1762,1420,42,0,93,203,0,4,0.8059023836549376
89060,9411,6828,715,0,54,1606,0,120,0.7255339496334077
89061,5485,4047,60,118,295,760,0,124,0.7378304466727439
89439,1484,1382,6,0,0,82,0,14,0.931266846361186
90001,57942,435,4936,18,93,52223,148,89,0.0075075075075075074
90002,51826,407,11002,335,311,39527,19,194,0.007853201095974992
90003,70208,433,15606,59,179,53630,92,209,0.006167388331814038
90004,63095,11187,2296,42,15663,31965,390,1319,0.17730406529835963
90005,39338,3040,2027,127,13279,20199,107,519,0.07727896690223193
90006,61230,2173,1900,65,11602,44852,155,333,0.035489139310795365
90007,41979,7443,4256,41,8296,20939,165,672,0.17730293718287715
90008,32060,1224,20681,93,990,7916,245,863,0.03817841547099189
90010,3524,489,179,10,2421,373,15,37,0.1387627695800227
90011,104762,623,8660,112,548,94383,192,110,0.005946812775624749
90012,32543,5152,3979,110,13272,9195,153,621,0.15831361583136158
90013,11668,3506,3522,38,1927,1777,109,765,0.3004799451491258
90014,7191,3152,1293,41,1043,1242,68,321,0.4383256848838826
90015,19378,2460,1387,14,2981,12369,17,139,0.1269480854577356
90016,47079,3272,15865,107,1602,24994,220,1019,0.06950020178848319
90017,25772,3178,1270,23,3853,17212,0,218,0.12331212168244607
90018,51639,2210,16765,20,2052,29314,549,673,0.042797110710896806
90019,68530,9938,13247,89,10849,32280,560,1504,0.14501678097183715
90020,40170,4612,2052,104,18729,13515,73,915,0.11481204879263132
90021,2954,545,702,30,89,1474,0,114,0.18449559918754233
90022,67191,1491,219,0,663,64637,118,48,0.02219047193820601
90023,46611,882,244,8,366,45092,0,19,0.018922571925082062
90024,49737,27048,869,24,13923,5509,168,2157,0.5438204958079498
90025,46520,24739,1291,0,9471,8642,41,2300,0.531792777300086
90026,67557,16514,2168,184,11228,35953,109,1313,0.2444454312654499
90027,46043,27252,1263,7,6031,9729,191,1536,0.591881502074148
90028,31122,15158,2502,203,2379,9983,67,819,0.48705096073517123
90029,40242,9503,911,12,6911,22288,51,526,0.2361463147954873
90031,38940,2658,235,31,9162,26388,88,322,0.06825885978428352
90032,47285,3372,689,138,4425,38284,84,249,0.07131225547213704
90033,49156,1233,668,45,2415,44679,11,46,0.02508340792578729
90034,57443,22081,5202,126,11031,16279,402,2172,0.3843984471563115
90035,30582,21466,2193,16,2278,3209,195,1215,0.7019161598325813
90036,37931,23442,1836,76,7162,3445,314,1557,0.6180169254699323
90037,61451,1032,11775,101,636,47157,360,390,0.016793868285300485
90038,28155,8287,1578,9,1442,15924,152,763,0.2943349316284852
90039,28436,10954,648,14,5045,10777,84,843,0.38521592347728234
90040,12812,171,113,107,115,12239,18,49,0.013346862316578207
90041,28405,8738,364,7,7419,11013,47,713,0.30762189755324765
90042,63109,9849,1640,124,7716,42591,222,870,0.15606331901947423
90043,44328,1689,26485,29,562,14151,367,1011,0.038102328099621004
90044,90155,948,31408,66,472,55988,257,1009,0.010515223781265598
90045,41145,20517,5297,60,5553,7336,158,2154,0.4986511119212541
90046,50923,37597,2142,48,2854,5749,373,2119,0.7383107829468021
90047,48306,648,31197,22,299,14912,152,983,0.01341448267295988
90048,22722,17007,548,35,2078,2101,45,896,0.7484816477422762
90049,35581,28582,446,11,3216,2087,29,1210,0.8032938928079593
90056,8118,1011,5938,0,272,653,0,244,0.12453806356245381
90057,48302,2579,2059,17,9526,33618,84,388,0.05339323423460726
90058,2674,90,192,0,84,2295,0,13,0.033657442034405384
90059,46027,368,14167,13,327,30649,262,241,0.007995307102352966
90061,27203,179,9484,30,76,17131,59,237,0.006580156600374958
90062,33690,322,10713,0,389,21354,452,382,0.009557732264766992
90063,54142,800,205,19,701,52181,105,109,0.014775959513870932
90064,27032,16591,994,10,4777,3667,64,844,0.6137540692512578
90065,46965,9034,778,0,7180,29061,73,810,0.19235600979452783
90066,59258,27870,1945,145,8422,17793,274,2719,0.4703162442201897
90067,2355,1801,6,0,453,39,0,28,0.764755838641189
90068,21450,15996,700,40,1549,2026,74,1057,0.7457342657342657
90069,20435,14614,994,31,1266,2487,138,873,0.7151455835576217
90071,0,0,0,0,0,0,0,0,
90073,915,333,321,0,53,173,11,22,0.3639344262295082
90077,8912,6845,213,0,863,676,18,297,0.7680655296229802
90079,0,0,0,0,0,0,0,0,
90089,3680,1576,200,5,1246,413,36,180,0.4282608695652174
90090,0,0,0,0,0,0,0,0,
90094,8072,3672,1033,0,2205,857,0,305,0.45490584737363726
