zip_code,total,white,black,indigenous,asian,latino,other,multiracial,white_percent
89010,281,119,0,28,0,134,0,0,0.4234875444839858
89019,1882,1488,80,0,197,96,0,21,0.7906482465462275
89060,10623,8192,521,98,82,1567,49,84,0.7711569236562177
89061,4552,3352,147,120,206,672,0,55,0.7363796133567663
89439,1643,1578,0,0,0,65,0,0,0.960438222763238
90001,54480,535,4794,33,74,48958,12,74,0.009820117474302496
90002,48613,423,13056,18,75,34966,9,55,0.008701376175097196
90003,67226,620,17077,152,129,48830,69,339,0.009222622199744146
90004,62884,11507,1788,97,16362,31458,577,1084,0.1829877234272629
90005,39592,3069,1940,72,12105,21813,190,186,0.07751565972923823
90006,58849,1941,1791,54,10669,44072,6,205,0.032982718482896904
90007,43653,7567,4247,64,6823,24119,256,520,0.17334432914118159
90008,33754,632,23919,199,873,6948,322,746,0.01872370681993245
90010,3835,422,46,75,2707,514,0,71,0.11003911342894394
90011,100671,630,7462,44,563,91393,251,282,0.006258008761212266
90012,29164,4197,2898,23,13168,8081,22,433,0.14391030037031957
90013,9318,2570,3127,20,1551,1693,28,329,0.27581025971238465
90014,5556,2067,1324,34,1160,867,0,73,0.3720302375809935
90015,17668,1953,951,8,2148,12499,37,72,0.11053882725832012
90016,46779,1999,18090,116,1260,24483,139,668,0.04273285021056457
90017,23171,2176,1208,61,3114,16410,0,59,0.09391049156272928
90018,48497,1946,15790,22,1416,28174,615,409,0.040126193372785945
90019,64613,8952,14820,63,10790,28196,195,1490,0.1385479702227106
90020,41086,4942,2142,154,19381,13705,108,608,0.12028428175047462
90021,2664,602,606,0,110,1267,0,79,0.22597597597597596
90022,68657,748,151,46,335,67358,0,19,0.010894737608692485
90023,45663,973,240,44,361,43979,0,66,0.02130828022687953
90024,50269,28072,1364,72,13356,5006,196,2158,0.5584356163838549
90025,42932,22371,1268,58,8959,8543,30,1525,0.5210798472002236
90026,69615,14545,1799,195,11614,40105,212,1041,0.20893485599367953
90027,45702,26513,1229,41,6722,9929,179,1072,0.5801277843420419
90028,28254,13761,1616,94,2385,9584,159,644,0.48704608197069443
90029,39437,8341,1344,39,5696,23253,206,558,0.21150188908892664
90031,39990,1929,381,121,10596,26680,58,170,0.0482370592648162
90032,49242,2738,957,50,4899,40345,33,195,0.055602940579180374
90033,49048,992,619,21,1920,45271,74,81,0.02022508563040287
90034,59305,23255,5525,34,10916,16902,149,2393,0.39212545316583763
90035,30553,19991,3244,119,2496,3337,191,1144,0.6543056328347462
90036,35942,21731,2269,117,6730,3416,91,1531,0.604612987591119
90037,60867,746,12439,52,372,46665,173,420,0.012256230798297928
90038,30225,7914,1604,16,2075,17769,53,710,0.2618362282878412
90039,28260,10391,708,39,4466,11776,56,801,0.36769285208775654
90040,12692,264,83,19,192,12088,0,34,0.020800504254648598
90041,28571,8915,533,168,6932,11307,31,606,0.3120296804452067
90042,62303,9381,1366,48,6939,43299,221,1045,0.15057059852655572
90043,43761,1406,27522,107,932,12308,308,1170,0.032129064692305934
90044,85940,1075,32388,68,731,50596,266,694,0.012508727018850361
90045,40535,20986,5938,206,4836,7029,125,1342,0.5177254224744048
90046,49937,37646,1682,101,2726,5583,184,1948,0.7538698760438152
90047,47857,482,31796,52,287,14395,204,614,0.010071671855736883
90048,20793,16668,400,24,1676,1444,4,569,0.8016159284374549
90049,36107,29087,303,21,3339,2320,147,874,0.8055778657877973
90056,8628,1405,6475,34,140,307,0,195,0.16284191006026888
90057,44871,2427,1908,87,9401,30831,60,138,0.05408838670856455
90058,3289,95,354,0,156,2622,0,0,0.028884159318941928
90059,40305,378,12825,203,146,26142,355,204,0.009378489021213248
90061,26621,468,9776,0,28,16205,52,92,0.017580105931407537
90062,31569,422,11284,6,285,18825,402,302,0.013367544109727897
90063,53994,579,66,29,670,52461,34,92,0.010723413712634737
90064,25894,15963,471,27,4908,3587,221,712,0.6164748590407044
90065,45816,8306,703,60,6400,29538,79,710,0.1812903789069321
