zip_code,total,white,black,indigenous,asian,latino,other,multiracial,white_percent
89010,313,170,0,21,0,109,0,13,0.5431309904153354
89019,2172,1470,211,8,180,208,0,78,0.6767955801104972
89060,10691,8212,448,108,46,1655,36,155,0.7681227200448976
89061,4658,3657,156,92,73,632,0,48,0.7851009016745384
89439,1457,1420,0,0,0,37,0,0,0.9746053534660261
90001,54760,465,4819,19,48,49339,14,56,0.008491599707815925
90002,46509,345,12716,20,65,33232,10,91,0.007417919112429852
90003,66183,765,16430,236,115,48261,51,282,0.011558859525860115
90004,63932,10641,1973,76,17154,32551,481,874,0.1664424701245073
90005,41178,2925,2314,109,12739,22426,126,150,0.07103307591432319
90006,57912,2094,1807,53,9574,43989,51,216,0.03615830915872358
90007,42265,7459,4392,44,6240,23388,235,486,0.1764817224653969
90008,34429,583,25606,167,787,6171,365,614,0.016933399169304947
90010,3229,542,53,65,2027,471,0,71,0.1678538247135336
90011,101523,676,8571,35,522,91184,162,325,0.006658589679185997
90012,29298,3907,3236,41,13047,8207,13,461,0.13335381254693154
90013,8216,2396,2701,25,1269,1624,9,192,0.29162609542356377
90014,5204,1638,1255,54,1165,998,0,94,0.31475787855495774
90015,17957,1640,881,9,2160,13153,19,95,0.09132928662916968
90016,46871,1947,17711,88,1228,25191,140,546,0.04153954470781507
90017,22401,1916,1189,56,2801,16202,0,112,0.08553189589750458
90018,48212,1792,16700,42,1441,27271,406,444,0.037169169501368955
90019,63894,8673,14412,70,10368,28692,64,1520,0.1357404451122171
90020,40596,4695,2043,120,18974,14167,114,441,0.11565178835353236
90021,2603,633,641,4,76,1165,0,84,0.2431809450633884
90022,67322,784,136,84,283,66025,0,10,0.0116455244942218
90023,44706,964,184,81,302,43124,0,51,0.021563101149733817
90024,49427,28100,1371,91,12961,4848,223,1808,0.5685151840087401
90025,42653,22418,1457,60,9103,8178,38,1251,0.5255902281199447
90026,70052,14111,1955,126,12340,40033,350,996,0.20143607605778566
90027,45491,27242,1406,30,6088,9852,192,607,0.5988437273306808
90028,27434,13789,1563,127,2404,8746,164,631,0.5026244805715535
90029,38563,7891,1343,19,5926,22651,220,502,0.20462619609470217
90031,39076,2010,408,136,10416,25839,50,164,0.05143822295014843
90032,48729,2991,814,54,5078,39362,105,296,0.06138028689281537
90033,49102,1049,584,25,2181,45009,74,136,0.021363691906643313
90034,59662,22854,5070,68,11367,17735,150,2284,0.3830578927960846
90035,29113,20094,3077,94,1901,2877,15,1033,0.6902071239652389
90036,36124,21855,2401,171,6620,3513,61,1442,0.6049994463514561
90037,60639,772,12718,30,480,45985,143,496,0.01273108065766256
90038,30498,8233,1334,26,2314,17734,71,698,0.26995212800839397
90039,29262,10829,543,30,4627,12443,47,730,0.3700703984690042
90040,12862,308,126,16,192,12152,0,28,0.02394650909656352
90041,28857,8280,756,147,8015,10893,26,652,0.2869321135253145
90042,63424,9595,1357,24,7804,43257,449,931,0.15128342583249244
90043,44042,1092,28440,52,775,12103,351,1192,0.024794514327233095
90044,88164,999,34523,74,652,51019,128,561,0.011331155573703552
90045,40150,20104,6039,265,5067,7078,179,1300,0.5007222914072229
90046,49212,38248,1664,118,2416,4989,100,1614,0.7772088108591401
90047,47550,714,32209,64,236,13668,210,446,0.01501577287066246
90048,20931,16993,596,32,1341,1382,67,509,0.8118580096507573
90049,36451,29419,280,17,3296,2407,149,871,0.807083481934652
90056,8108,1079,6305,56,114,207,0,266,0.13307844104588062
90057,43808,2206,1812,131,9257,30124,52,204,0.05035609934258583
90058,3484,99,432,2,148,2744,0,0,0.02841561423650976
90059,40209,360,14306,139,109,24870,210,139,0.00895321942848616
90061,26952,447,9631,0,9,16725,0,140,0.016585040071237758
90062,30710,459,11377,5,348,18027,134,347,0.014946271572777597
90063,52883,617,91,25,629,51364,6,84,0.011667265472836261
90064,25633,16133,518,22,4845,3443,152,520,0.6293839971911208
90065,46844,8019,707,76,6526,30685,90,729,0.171185210485868
90066,56210,26350,2956,105,7906,17188,129,1548,0.4687777975449208
90067,2468,1818,4,0,428,162,28,28,0.7366288492706645
90068,22048,16393,1167,131,1378,2098,71,784,0.7435141509433962
90069,19789,15628,494,23,723,2359,11,551,0.789731669109101
90071,0,0,0,0,0,0,0,0,
90073,560,170,189,3,78,109,0,11,0.30357142857142855
90077,8571,7418,171,0,432,298,29,223,0.8654766071636916
90079,0,0,0,0,0,0,0,0,
90089,3516,1621,120,0,1154,428,24,159,0.46103526734926054
90090,0,0,0,0,0,0,0,0,
90094,4994,2651,485,0,1170,201,29,458,0.5308370044052864
90095,0,0,0,0,0,0,0,0,
90201,101584,3297,660,88,343,96747,215,95,0.03245589856670342
90210,21719,18313,320,20,944,1522,38,562,0.8431787835535706
90211,8097,6911,221,0,583,310,0,72,0.8535259972829443
90212,11836,9366,362,0,1111,560,0,397,0.7913146333220683
90220,50741,1155,18686,79,357,28949,247,909,0.02276265741707889
90221,51535,669,10701,82,212,39065,91,480,0.012981468904627922
90222,30628,273,9607,0,71,19955,58,664,0.008913412563667233
90230,32019,12049,3543,0,4230,10934,145,1099,0.3763078172335176
90232,15001,6993,1220,0,2163,3905,34,680,0.4661689220718619
90240,25398,5349,394,7,1941,17430,111,166,0.21060713442003307
90241,43558,7939,1337,25,3278,30502,185,292,0.1822627301528996
90242,42373,6227,2181,110,2444,31017,26,313,0.14695678852099214
90245,16597,11465,110,64,947,3207,0,617,0.6907874917153702
90247,46729,2797,8394,31,12102,21975,103,819,0.05985576408654155
90248,10268,1028,1014,0,3435,4383,0,393,0.10011686793922867
90249,26735,3761,7778,0,4533,9579,154,847,0.1406770151486815
90250,93154,12766,22451,95,6388,48917,375,1538,0.13704188762694033
90254,19422,15479,188,30,1351,1636,37,685,0.7969828030068994
90255,76137,845,119,43,460,74498,51,75,0.011098414699817434
90260,34471,6521,2517,101,4036,19998,51,1132,0.1891735081662847
90262,69643,1871,6035,39,475,60802,148,219,0.02686558591674684
90263,1710,1010,75,0,304,258,0,59,0.5906432748538012
90265,17822,14963,342,106,653,1173,0,585,0.8395802940186287
90266,34986,27889,91,64,2578,2868,186,1310,0.7971474304007318
90270,27454,332,125,0,54,26927,0,0,0.012092955489181904
90272,22765,20057,55,30,1193,1120,0,294,0.8810454645288821
90274,25319,17574,656,46,5160,1157,31,695,0.6941032426241163
90275,41712,23273,1227,90,12095,3385,242,1330,0.5579449558879939
90277,34382,24213,625,49,3709,4489,113,1152,0.7042347740096562
90278,40661,25527,1198,82,4744,7364,131,1407,0.6278005951649
90280,94586,3016,288,24,816,90167,88,187,0.03188632567187533
90290,6820,5588,268,0,111,687,40,110,0.8193548387096774
90291,26992,18360,1519,32,1190,4892,98,801,0.6802015411973918
90292,22152,15807,1560,18,1758,2190,0,713,0.713569880823402
90293,12833,8469,1050,0,1425,1404,0,485,0.6599392192004987
90301,37024,1776,11887,35,746,21832,92,575,0.047968885047536734
90302,30729,1484,14567,113,524,13238,72,718,0.048293143284844936
90303,26055,281,8593,12,163,16451,11,300,0.010784878142391095
90304,26978,872,1681,109,227,23949,52,52,0.032322633256727705
90305,14107,354,12048,28,123,1066,7,481,0.02509392500177217
90401,6531,4354,237,2,872,905,24,137,0.6666666666666666
90402,12615,10649,110,17,869,493,85,381,0.8441537851763773
90403,24770,20517,355,13,1873,1325,11,651,0.8283003633427534
90404,20123,10251,1485,42,2563,5088,20,640,0.5094170849276947
90405,27350,18971,1200,65,2859,3052,230,960,0.6936380255941499
90501,41290,10772,2231,61,9397,17505,12,1279,0.2608864131751029
90502,16655,3107,1193,11,4969,6248,18,548,0.18655058540978686
