"B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"26288","1190","22879","985","8963","751","8263","821","16","19","4250","580","102","124","43","40","1242","417","149","211","1093","372","3409","758","2045","404","54","46","130","161","14","18","0","23","777","599","389","284","0","23","389","284","8600000US94608","ZCTA5 94608"
"21210","1175","18156","1012","8266","701","7015","849","22","49","1803","464","95","87","16","19","939","261","14","18","925","256","3054","635","1638","398","42","34","19","20","16","27","0","23","836","421","503","239","311","215","192","100","8600000US94609","ZCTA5 94609"
"29978","998","27018","927","15955","879","4779","563","140","89","4253","553","70","68","202","113","1619","366","55","65","1564","367","2960","533","1846","425","274","186","17","26","19","32","0","23","596","257","208","112","153","94","55","36","8600000US94610","ZCTA5 94610"
"36676","1079","34542","1119","23787","937","2675","529","46","42","5822","563","43","43","193","166","1976","358","61","53","1915","358","2134","487","1035","318","64","101","46","45","42","59","0","26","532","252","415","156","164","110","251","115","8600000US94611","ZCTA5 94611"
"13816","927","11706","748","3283","441","3907","477","82","50","3733","446","22","52","0","19","679","208","0","19","679","208","2110","529","1112","304","34","32","32","33","23","26","0","19","676","365","233","134","128","106","105","73","8600000US94612","ZCTA5 94612"
"861","161","636","116","255","96","17","16","0","12","328","95","0","12","0","12","36","25","0","12","36","25","225","117","122","94","0","12","4","8","0","12","0","12","69","47","30","39","0","12","30","39","8600000US94613","ZCTA5 94613"
"17226","937","15882","942","11229","542","1395","431","37","42","2288","467","25","32","74","72","834","213","7","12","827","213","1344","338","994","319","21","33","0","19","20","22","0","19","181","139","128","104","94","102","34","37","8600000US94618","ZCTA5 94618"
"22809","1030","18738","975","7400","638","5656","657","59","46","4551","601","37","40","57","64","978","261","0","23","978","261","4071","685","2742","583","52","44","29","27","8","11","0","23","1006","377","234","103","96","72","138","70","8600000US94619","ZCTA5 94619"
"31833","1665","14064","1207","747","226","10236","1061","231","139","1537","530","362","247","63","88","888","294","46","41","842","288","17769","1237","8393","1221","166","119","387","207","8","13","0","26","8262","1375","553","326","321","254","232","186","8600000US94621","ZCTA5 94621"
"16324","718","14492","702","7947","660","3123","429","58","44","2585","471","35","37","27","25","717","187","14","21","703","186","1832","449","887","346","49","79","21","18","11","12","0","19","497","208","367","204","121","86","246","198","8600000US94702","ZCTA5 94702"
"21281","916","18873","836","11252","824","2897","488","29","25","3043","727","125","123","115","110","1412","382","68","84","1344","368","2408","511","1567","502","64","104","27","27","0","23","0","23","524","236","226","134","5","9","221","133","8600000US94703","ZCTA5 94703"
"24906","1178","22548","1035","10990","810","841","215","106","68","9615","737","53","61","55","42","888","206","107","62","781","194","2358","469","1339","367","38","41","62","52","18","20","0","23","670","214","231","109","83","65","148","87","8600000US94704","ZCTA5 94704"
"12979","588","11945","557","9572","570","446","186","0","19","1298","250","27","37","67","48","535","168","20","21","515","174","1034","291","746","254","9","13","6","9","19","23","0","19","162","84","92","57","24","23","68","53","8600000US94705","ZCTA5 94705"
"19918","345","17873","563","10298","635","1028","356","48","42","5256","531","112","128","56","50","1075","238","0","19","1075","238","2045","468","1118","330","14","22","117","122","22","31","0","19","396","200","378","183","131","64","247","167","8600000US94706","ZCTA5 94706"
"12324","480","11777","477","9646","428","242","219","3","7","1387","279","18","20","53","59","428","148","0","19","428","148","547","157","405","144","0","19","28","44","11","16","0","19","50","39","53","38","36","38","17","20","8600000US94707","ZCTA5 94707"
"11073","428","10666","446","8914","475","102","75","0","19","1039","197","12","20","73","61","526","146","35","38","491","143","407","127","213","83","44","41","7","12","0","19","0","19","51","34","92","75","40","51","52","61","8600000US94708","ZCTA5 94708"
"12360","654","11245","654","6915","496","525","290","0","19","3184","490","16","28","82","74","523","166","33","34","490","161","1115","267","787","247","0","19","7","11","37","39","0","19","165","108","119","87","12","19","107","86","8600000US94709","ZCTA5 94709"
"6478","496","4474","370","2581","259","1134","217","40","35","508","183","59","77","6","10","146","72","7","12","139","70","2004","434","1249","418","45","61","13","20","0","17","0","17","442","252","255","142","143","93","112","113","8600000US94710","ZCTA5 94710"
"3026","404","2512","339","964","174","110","89","10","14","1230","258","0","12","0","12","198","97","19","26","179","84","514","148","251","114","0","12","0","12","9","16","0","12","169","94","85","44","42","37","43","35","8600000US94720","ZCTA5 94720"
"29825","1511","11482","1090","3186","406","5542","788","46","48","2035","399","33","36","50","73","590","235","46","46","544","230","18343","1573","13424","1568","280","209","30","40","8","14","0","23","4271","912","330","195","268","188","62","52","8600000US94801","ZCTA5 94801"
"26124","1083","20340","1058","9649","710","4205","669","59","65","4693","510","115","98","90","77","1529","363","42","61","1487","352","5784","740","3925","645","361","358","51","64","4","8","0","23","992","480","451","197","73","50","378","192","8600000US94803","ZCTA5 94803"
"39995","1314","24707","1413","7177","599","11614","1044","26","36","4962","786","117","144","22","26","789","327","114","92","675","309","15288","1477","9900","1407","92","66","15","17","47","48","0","26","4737","1014","497","215","300","165","197","121","8600000US94804","ZCTA5 94804"
"14232","877","9893","751","4964","540","1833","451","45","56","2448","521","36","38","54","60","513","228","0","19","513","228","4339","785","2935","711","155","199","21","30","0","19","0","19","1052","451","176","124","139","105","37","57","8600000US94805","ZCTA5 94805"
"59720","1158","33791","1224","9625","852","11447","944","215","101","10345","748","225","170","170","120","1764","439","33","37","1731","430","25929","1172","19993","1417","315","163","362","310","77","67","0","29","4184","881","998","334","531","233","467","267","8600000US94806","ZCTA5 94806"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8600000US94850","ZCTA5 94850"
"41056","814","26329","821","22033","875","990","335","24","38","2008","332","30","33","413","291","831","203","8","15","823","202","14727","1041","5250","1024","331","237","92","122","0","26","0","26","8409","1087","645","467","534","453","111","75","8600000US94901","ZCTA5 94901"
