"GEO_ID","P005001","P005002","P005003","P005004","P005005","P005006","P005007","P005008","P005009","P005010","P005011","P005012","P005013","P005014","P005015","P005016","P005017","NAME"
"id","Total","Total!!Not Hispanic or Latino","Total!!Not Hispanic or Latino!!White alone","Total!!Not Hispanic or Latino!!Black or African American alone","Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Total!!Not Hispanic or Latino!!Asian alone","Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Total!!Not Hispanic or Latino!!Some Other Race alone","Total!!Not Hispanic or Latino!!Two or More Races","Total!!Hispanic or Latino","Total!!Hispanic or Latino!!White alone","Total!!Hispanic or Latino!!Black or African American alone","Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Total!!Hispanic or Latino!!Asian alone","Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Total!!Hispanic or Latino!!Some Other Race alone","Total!!Hispanic or Latino!!Two or More Races","Geographic Area Name"
"8600000US90043","44789","31740","1002","28877","71","359","33","274","1124","13049","3921","623","202","21","6","7478","798","ZCTA5 90043"
"8600000US90044","89779","35428","895","32766","133","282","67","456","829","54351","19240","890","533","56","14","30881","2737","ZCTA5 90044"
"8600000US90045","39480","32277","20086","5420","56","4657","130","157","1771","7203","4050","185","92","94","5","2152","625","ZCTA5 90045"
"8600000US90046","48581","43794","37931","1625","83","2592","38","152","1373","4787","2876","83","77","50","4","1257","440","ZCTA5 90046"
"8600000US90047","48606","33213","446","31446","73","235","45","233","735","15393","5288","469","150","25","9","8531","921","ZCTA5 90047"
"8600000US90048","21397","19818","16898","625","20","1552","14","54","655","1579","1080","27","17","19","1","291","144","ZCTA5 90048"
"8600000US90049","35482","33548","28631","497","32","3048","23","88","1229","1934","1233","17","16","28","4","467","169","ZCTA5 90049"
"8600000US90056","7827","7372","896","5828","14","253","2","30","349","455","154","103","6","2","1","127","62","ZCTA5 90056"
"8600000US90057","44998","13851","2410","1880","69","8915","72","122","383","31147","10514","207","653","76","27","17664","2006","ZCTA5 90057"
"8600000US90058","3223","605","148","273","9","139","0","14","22","2618","1001","27","73","3","0","1395","119","ZCTA5 90058"
"8600000US90059","40952","14710","358","13725","85","88","55","80","319","26242","8542","322","189","28","9","16004","1148","ZCTA5 90059"
"8600000US90061","26872","10493","260","9767","47","82","22","65","250","16379","5534","259","123","14","22","9698","729","ZCTA5 90061"
"8600000US90062","32821","13448","370","12024","58","368","13","226","389","19373","6585","396","217","19","15","11057","1084","ZCTA5 90062"
"8600000US90063","55758","1783","761","190","79","591","2","81","79","53975","26303","208","572","82","23","25003","1784","ZCTA5 90063"
"8600000US90064","25403","21578","15592","630","24","4229","23","111","969","3825","2111","40","44","36","3","1263","328","ZCTA5 90064"
"8600000US90065","45527","16426","7886","773","61","6852","30","101","723","29101","14294","144","309","169","6","12582","1597","ZCTA5 90065"
"8600000US90066","55277","38509","26331","1979","103","7885","124","246","1841","16768","8191","141","344","94","22","6923","1053","ZCTA5 90066"
"8600000US90067","2424","2336","2006","23","2","251","2","0","52","88","71","0","0","0","0","11","6","ZCTA5 90067"
"8600000US90068","22286","20087","16784","967","46","1467","11","89","723","2199","1261","51","20","27","5","605","230","ZCTA5 90068"
"8600000US90069","20483","18652","16314","583","21","1091","22","66","555","1831","1168","29","21","24","4","447","138","ZCTA5 90069"
"8600000US90071","15","10","4","5","0","1","0","0","0","5","5","0","0","0","0","0","0","ZCTA5 90071"
