"B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M","GEO_ID","NAME"
"Total","Margin of Error!!Total","Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"549","133","378","105","333","98","0","11","39","42","0","11","0","11","0","11","6","8","0","11","6","8","171","102","84","62","0","11","0","11","0","11","0","11","87","81","0","11","0","11","0","11","8600000US89010","ZCTA5 89010"
"1804","555","1657","544","1493","541","60","44","0","11","101","55","0","11","0","11","3","5","0","11","3","5","147","143","97","83","0","11","3","5","0","11","0","11","40","88","7","27","7","27","0","11","8600000US89019","ZCTA5 89019"
"9587","836","7950","826","7113","768","591","242","18","34","48","44","46","49","0","16","134","97","0","16","134","97","1637","380","834","303","0","16","0","16","0","16","0","16","785","365","18","30","0","16","18","30","8600000US89060","ZCTA5 89060"
"5337","668","4532","592","4017","609","52","69","29","43","326","189","23","38","0","16","85","92","14","22","71","89","805","270","619","291","0","16","0","16","0","16","0","16","186","250","0","16","0","16","0","16","8600000US89061","ZCTA5 89061"
"1609","217","1533","216","1516","213","0","11","0","11","0","11","0","11","0","11","17","25","0","11","17","25","76","95","57","91","0","11","0","11","0","11","0","11","19","30","0","11","0","11","0","11","8600000US89439","ZCTA5 89439"
"57227","1659","5499","651","353","165","4872","608","18","30","88","53","0","28","44","71","124","75","8","14","116","75","51728","1714","24140","1572","218","129","513","505","9","14","11","17","26304","1802","533","217","388","193","145","109","8600000US90001","ZCTA5 90001"
"50626","1854","12577","1061","395","187","11597","988","238","277","142","65","30","32","16","23","159","94","0","28","159","94","38049","1973","21919","1878","144","87","135","112","0","28","29","43","15520","1805","302","138","128","80","174","106","8600000US90002","ZCTA5 90002"
"69502","2205","16699","1090","364","164","15699","1099","139","151","197","122","20","34","47","48","233","174","0","28","233","174","52803","2153","16221","1375","456","302","473","250","1","2","11","16","35090","2044","551","218","360","185","191","118","8600000US90003","ZCTA5 90003"
"64008","1658","31318","1258","10755","690","2228","387","95","83","16332","871","205","256","386","166","1317","354","109","106","1208","329","32690","1568","13660","1267","95","77","135","117","157","131","0","28","17962","1431","681","218","523","188","158","88","8600000US90004","ZCTA5 90004"
