"B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"313","92","204","56","170","58","0","89","21","18","0","89","0","89","0","89","13","17","0","89","13","17","109","86","77","82","0","89","0","89","0","89","0","89","32","50","0","89","0","89","0","89","8600000US89010","ZCTA5 89010"
"2172","731","1964","709","1470","705","211","114","8","15","180","99","17","28","0","89","78","56","0","89","78","56","208","103","146","76","9","17","0","89","0","89","0","89","53","53","0","89","0","89","0","89","8600000US89019","ZCTA5 89019"
"10691","1079","9036","898","8212","887","448","182","108","73","46","41","31","40","36","55","155","126","0","89","155","126","1655","482","1374","411","0","89","0","89","0","89","0","89","272","321","9","17","0","89","9","17","8600000US89060","ZCTA5 89060"
"4658","708","4026","638","3657","629","156","135","92","124","73","50","0","89","0","89","48","46","0","89","48","46","632","270","385","254","0","89","0","89","0","89","0","89","220","141","27","38","15","30","12","21","8600000US89061","ZCTA5 89061"
"1457","233","1420","239","1420","239","0","89","0","89","0","89","0","89","0","89","0","89","0","89","0","89","37","58","37","58","0","89","0","89","0","89","0","89","0","89","0","89","0","89","0","89","8600000US89439","ZCTA5 89439"
"54760","1946","5421","770","465","221","4819","728","19","22","48","48","0","95","14","21","56","52","9","14","47","50","49339","1995","39914","2033","124","91","290","282","11","18","0","95","8595","1479","405","244","369","226","36","50","8600000US90001","ZCTA5 90001"
"46509","2017","13277","965","345","165","12716","944","20","27","65","60","30","39","10","17","91","80","70","74","21","21","33232","1956","27690","2069","128","110","50","69","0","95","0","95","5019","1108","345","169","275","157","70","43","8600000US90002","ZCTA5 90002"
"66183","2361","17922","1513","765","465","16430","1443","236","180","115","120","43","66","51","51","282","203","26","31","256","198","48261","1922","31105","2125","166","103","244","180","0","95","0","95","16321","1979","425","263","94","113","331","232","8600000US90003","ZCTA5 90003"
"63932","1819","31381","1062","10641","791","1973","467","76","53","17154","911","182","193","481","354","874","279","57","59","817","277","32551","1738","12366","1301","102","109","246","154","155","163","0","95","19211","1567","471","191","379","185","92","53","8600000US90004","ZCTA5 90004"
"41178","1886","18752","1152","2925","408","2314","512","109","61","12739","1115","389","386","126","110","150","92","25","28","125","89","22426","1770","7227","1135","311","192","233","152","106","150","0","95","14228","1628","321","158","174","105","147","104","8600000US90005","ZCTA5 90005"
"57912","1873","13923","1155","2094","400","1807","419","53","42","9574","887","128","200","51","45","216","108","6","13","210","111","43989","1691","16520","1367","103","88","258","143","0","95","0","95","26381","1509","727","294","503","269","224","148","8600000US90006","ZCTA5 90006"
"42265","2091","18877","1495","7459","890","4392","625","44","54","6240","789","21","23","235","120","486","134","65","57","421","124","23388","1592","7289","910","45","38","66","71","69","58","0","95","15487","1510","432","217","233","129","199","172","8600000US90007","ZCTA5 90007"
"34429","1453","28258","1383","583","185","25606","1310","167","230","787","204","136","171","365","259","614","281","13","20","601","279","6171","888","1760","670","252","144","26","41","0","95","0","95","4081","663","52","43","28","26","24","38","8600000US90008","ZCTA5 90008"
"3229","562","2758","504","542","242","53","48","65","106","2027","456","0","95","0","95","71","94","0","95","71","94","471","241","171","111","0","95","0","95","0","95","0","95","290","186","10","16","0","95","10","16","8600000US90010","ZCTA5 90010"
"101523","2456","10339","1081","676","269","8571","1094","35","29","522","244","48","48","162","126","325","139","32","50","293","145","91184","2903","25753","2149","289","175","107","94","39","48","0","95","63887","2978","1109","292","954","280","155","100","8600000US90011","ZCTA5 90011"
"29298","1263","21091","1071","3907","423","3236","344","41","36","13047","805","386","250","13","16","461","183","72","50","389","174","8207","877","3721","524","149","143","0","95","32","30","0","95","4013","744","292","133","231","120","61","48","8600000US90012","ZCTA5 90012"
"8216","1461","6592","1095","2396","547","2701","633","25","23","1269","286","0","95","9","21","192","154","30","70","162","101","1624","580","650","342","25","30","17","23","37","53","0","95","801","299","94","87","49","46","45","74","8600000US90013","ZCTA5 90013"
"5204","617","4206","614","1638","420","1255","317","54","46","1165","213","0","95","0","95","94","68","0","95","94","68","998","272","304","190","0","95","7","15","21","47","0","95","532","228","134","114","134","114","0","95","8600000US90014","ZCTA5 90014"
"17957","1053","4804","473","1640","325","881","240","9","12","2160","340","0","95","19","18","95","57","22","33","73","45","13153","1202","4223","697","136","95","38","50","0","95","15","23","8614","1137","127","61","79","55","48","38","8600000US90015","ZCTA5 90015"
"46871","1619","21680","1358","1947","311","17711","1351","88","71","1228","321","20","26","140","113","546","154","13","22","533","150","25191","1481","7792","1089","345","216","143","113","12","22","0","95","16188","1468","711","278","498","241","213","130","8600000US90016","ZCTA5 90016"
"22401","1041","6199","496","1916","432","1189","280","56","42","2801","365","125","141","0","95","112","112","0","95","112","112","16202","1034","5271","816","87","62","848","342","0","95","1","4","9627","1046","368","188","365","188","3","9","8600000US90017","ZCTA5 90017"
"48212","2015","20941","1394","1792","327","16700","1276","42","58","1441","282","116","166","406","190","444","183","31","38","413","175","27271","1687","5694","861","120","120","299","199","35","53","0","95","20676","1653","447","244","358","227","89","90","8600000US90018","ZCTA5 90018"
"63894","2121","35202","1503","8673","761","14412","897","70","79","10368","1203","95","93","64","49","1520","344","85","56","1435","340","28692","1709","14353","1489","244","133","104","102","136","93","0","95","13182","1510","673","234","481","169","192","123","8600000US90019","ZCTA5 90019"
"40596","1514","26429","1358","4695","549","2043","390","120","93","18974","1304","42","58","114","129","441","178","108","151","333","125","14167","1131","5608","805","234","155","8","12","9","16","7","11","8144","1100","157","144","66","65","91","124","8600000US90020","ZCTA5 90020"
"2603","594","1438","387","633","174","641","288","4","9","76","52","0","95","0","95","84","180","0","95","84","180","1165","351","615","257","43","71","0","95","0","95","0","95","421","274","86","104","12","19","74","102","8600000US90021","ZCTA5 90021"
"67322","1696","1297","305","784","254","136","75","84","76","283","118","0","95","0","95","10","14","0","95","10","14","66025","1768","42509","1934","120","71","580","297","145","137","119","157","21662","2081","890","375","541","234","349","266","8600000US90022","ZCTA5 90022"
"44706","1612","1582","401","964","349","184","130","81","55","302","136","0","95","0","95","51","44","7","11","44","43","43124","1565","20557","1739","43","65","323","214","39","58","0","95","21572","1837","590","266","334","177","256","195","8600000US90023","ZCTA5 90023"
"49427","2085","44579","1922","28100","1305","1371","352","91","86","12961","1548","25","21","223","183","1808","411","208","169","1600","328","4848","810","2322","587","57","56","21","22","74","67","0","95","2014","533","360","207","176","110","184","183","8600000US90024","ZCTA5 90024"
"42653","1391","34475","1217","22418","1247","1457","368","60","48","9103","824","148","250","38","44","1251","321","136","124","1115","318","8178","1296","2913","700","6","12","434","459","17","32","0","95","4703","1361","105","86","50","55","55","57","8600000US90025","ZCTA5 90025"
"70052","1821","30019","1311","14111","868","1955","464","126","96","12340","966","141","109","350","311","996","255","62","70","934","258","40033","1934","23724","2025","242","198","269","151","170","122","0","95","14729","1618","899","311","543","254","356","164","8600000US90026","ZCTA5 90026"
"45491","1312","35639","1304","27242","1188","1406","370","30","31","6088","783","74","97","192","110","607","224","48","61","559","206","9852","952","4293","628","7","13","167","237","72","77","0","95","4862","736","451","172","312","150","139","99","8600000US90027","ZCTA5 90027"
"27434","1287","18688","1031","13789","867","1563","372","127","93","2404","516","10","18","164","102","631","183","55","55","576","180","8746","858","2451","605","58","64","117","98","59","45","26","42","5643","756","392","176","314","152","78","63","8600000US90028","ZCTA5 90028"
