"B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"24759","1229","16686","1238","10773","939","2065","625","79","86","2756","534","42","61","31","32","940","305","10","17","930","307","8073","949","5005","886","11","18","174","261","88","94","0","23","1710","576","1085","441","539","260","546","323","8600000US91737","ZCTA5 91737"
"38009","1124","25080","1332","13262","1322","3615","778","27","49","6806","990","0","26","70","99","1300","444","82","132","1218","432","12929","1366","8737","1401","77","79","234","299","32","49","0","26","3188","988","661","311","519","298","142","116","8600000US91739","ZCTA5 91739"
"26324","909","16551","1000","13024","868","753","283","76","60","1775","439","0","23","132","131","791","258","13","21","778","255","9773","747","6602","809","21","28","2","4","118","114","0","23","2621","564","409","166","203","115","206","126","8600000US91740","ZCTA5 91740"
"25678","884","20019","844","16975","778","434","224","87","70","2038","379","8","13","8","14","469","162","32","41","437","153","5659","593","3744","603","58","63","111","126","97","136","0","23","1366","392","283","145","131","89","152","125","8600000US91741","ZCTA5 91741"
"87096","2010","14010","969","4672","548","1290","313","111","63","7244","707","43","38","99","101","551","228","210","169","341","164","73086","1950","45345","2544","217","128","521","266","47","42","7","11","24833","2237","2116","515","1353","466","763","236","8600000US91744","ZCTA5 91744"
"55237","1543","30095","1057","7325","622","512","223","140","69","21392","1056","195","157","21","24","510","195","63","67","447","181","25142","1454","17863","1595","57","48","100","67","134","112","38","63","6145","1154","805","231","459","182","346","176","8600000US91745","ZCTA5 91745"
"29420","1250","4401","486","1372","235","177","123","23","44","2675","411","0","23","66","56","88","84","0","23","88","84","25019","1315","12679","1171","52","43","243","285","148","163","0","23","11086","1357","811","328","679","296","132","120","8600000US91746","ZCTA5 91746"
"47859","1101","33146","916","4618","594","323","116","214","122","27177","808","134","88","30","38","650","189","34","41","616","183","14713","905","6912","805","49","47","9","14","138","103","0","26","6989","1181","616","225","320","205","296","132","8600000US91748","ZCTA5 91748"
"33969","499","23034","908","17473","858","1279","432","137","89","3004","492","1","2","75","62","1065","363","26","29","1039","363","10935","859","7993","1006","170","113","88","81","50","70","27","43","2166","617","441","177","331","165","110","62","8600000US91750","ZCTA5 91750"
"28649","1379","11849","1005","7443","711","1998","622","31","33","2045","673","35","39","11","13","286","141","29","47","257","136","16800","1255","9042","925","47","50","41","44","8","13","0","26","7170","1171","492","202","364","170","128","116","8600000US91752","ZCTA5 91752"
"33622","1012","22086","819","1461","312","159","122","10","10","19561","786","166","156","75","67","654","257","8","14","646","258","11536","1024","5295","837","31","48","50","49","88","95","0","26","5796","1014","276","107","186","89","90","58","8600000US91754","ZCTA5 91754"
"27305","1011","20108","908","930","234","105","87","74","121","18473","921","45","40","28","33","453","266","16","20","437","266","7197","750","3730","530","15","24","53","58","106","73","11","15","2958","662","324","154","224","128","100","68","8600000US91755","ZCTA5 91755"
"369","119","339","114","335","114","0","12","0","12","4","6","0","12","0","12","0","12","0","12","0","12","30","19","28","18","0","12","2","3","0","12","0","12","0","12","0","12","0","12","0","12","8600000US91759","ZCTA5 91759"
"59892","1827","18712","1183","10432","900","3538","646","137","132","3555","673","39","79","108","114","903","358","11","18","892","358","41180","2111","24109","2406","468","455","343","232","126","114","34","57","14432","1479","1668","499","1009","429","659","271","8600000US91761","ZCTA5 91761"
"56148","1718","17794","1365","11561","1164","2849","712","122","80","2218","396","82","80","71","46","891","329","34","42","857","324","38354","1682","18624","1925","412","263","296","160","32","35","0","29","17941","1668","1049","345","337","153","712","321","8600000US91762","ZCTA5 91762"
"37432","257","11819","892","5802","666","1530","394","26","27","3638","585","331","283","99","83","393","196","44","61","349","186","25613","922","10019","1171","98","77","220","197","0","26","0","26","14420","1304","856","349","717","331","139","78","8600000US91763","ZCTA5 91763"
"54078","1656","13885","1017","7111","684","2938","536","16","26","2553","594","166","240","83","81","1018","333","76","76","942","313","40193","1664","24878","2087","319","346","504","403","120","124","2","5","13457","1812","913","373","536","266","377","254","8600000US91764","ZCTA5 91764"
"47562","577","37773","735","11047","681","1688","432","138","139","23467","983","442","464","99","77","892","270","87","67","805","263","9789","783","5143","889","160","168","55","50","47","37","0","26","3597","904","787","376","236","166","551","320","8600000US91765","ZCTA5 91765"
"71851","1428","20249","1204","7057","989","3802","659","152","97","8171","834","245","243","28","32","794","210","30","34","764","207","51602","1660","41189","2037","230","147","471","244","138","91","0","29","8364","1268","1210","377","488","195","722","316","8600000US91766","ZCTA5 91766"
"49027","1367","16611","804","8103","665","4408","594","165","111","3417","451","25","37","7","10","486","172","74","44","412","173","32416","1283","26248","1413","217","172","257","207","31","32","5","13","4552","777","1106","286","782","272","324","123","8600000US91767","ZCTA5 91767"
"36454","1118","11066","747","4867","539","2708","471","49","56","2614","456","78","120","302","312","448","138","54","41","394","136","25388","1162","10827","1122","93","66","255","172","21","30","0","26","13316","1414","876","440","724","404","152","118","8600000US91768","ZCTA5 91768"
"63119","933","42231","1101","3154","533","184","125","99","65","38144","1050","107","83","47","55","496","231","17","16","479","231","20888","1132","11277","1006","0","29","186","156","45","41","0","29","8708","1156","672","230","556","205","116","83","8600000US91770","ZCTA5 91770"
"33869","282","23496","893","16143","849","1284","509","119","102","4417","638","17","18","114","109","1402","431","226","206","1176","388","10373","921","6329","900","73","78","130","134","149","127","0","26","2773","716","919","361","685","349","234","122","8600000US91773","ZCTA5 91773"
"25395","839","18879","817","5809","509","196","116","35","31","12131","628","38","55","100","73","570","178","82","78","488","152","6516","728","2731","461","0","23","8","13","62","64","19","27","3324","642","372","183","149","112","223","134","8600000US91775","ZCTA5 91775"
"37378","694","27422","944","2980","553","229","129","17","18","23723","914","102","113","50","79","321","127","25","28","296","125","9956","934","3628","702","45","55","43","35","116","119","0","26","5931","1106","193","134","126","116","67","62","8600000US91776","ZCTA5 91776"
"35274","691","27389","982","6906","582","302","212","0","26","19582","854","0","26","48","39","551","257","165","220","386","129","7885","834","2709","604","33","40","41","45","73","85","0","26","4688","899","341","185","176","120","165","127","8600000US91780","ZCTA5 91780"
