"B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"514","108","360","78","341","88","11","25","8","10","0","12","0","12","0","12","0","12","0","12","0","12","154","99","154","99","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8600000US89010","ZCTA5 89010"
"2158","706","1682","478","1498","473","104","54","0","12","72","48","0","12","0","12","8","9","0","12","8","9","476","425","438","419","0","12","2","3","0","12","0","12","36","39","0","12","0","12","0","12","8600000US89019","ZCTA5 89019"
"9473","935","8033","730","7326","712","229","170","35","34","81","60","82","74","0","17","280","192","0","17","280","192","1440","527","369","263","20","32","0","17","20","35","0","17","1031","439","0","17","0","17","0","17","8600000US89060","ZCTA5 89060"
"6160","831","5180","725","4657","626","154","129","61","88","38","50","0","17","0","17","270","270","17","28","253","267","980","440","700","423","0","17","0","17","0","17","0","17","280","251","0","17","0","17","0","17","8600000US89061","ZCTA5 89061"
"1284","218","1266","224","1244","231","4","7","18","29","0","12","0","12","0","12","0","12","0","12","0","12","18","30","18","30","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8600000US89439","ZCTA5 89439"
"59832","1842","5903","786","386","169","5113","720","39","47","105","70","0","29","169","146","91","54","13","20","78","47","53929","1790","24673","1658","225","146","420","262","84","72","11","18","27840","1833","676","278","405","198","271","196","8600000US90001","ZCTA5 90001"
"53302","2254","11254","1098","209","83","9762","997","473","432","433","325","49","63","192","227","136","69","13","20","123","64","42048","2117","22697","2128","319","164","320","207","116","191","21","34","17914","1945","661","347","440","305","221","157","8600000US90002","ZCTA5 90002"
"73730","2162","15964","1283","339","134","14870","1195","119","95","171","143","0","29","248","201","217","104","15","23","202","101","57766","2208","24078","2157","375","250","410","300","48","35","51","74","32334","2180","470","171","240","118","230","131","8600000US90003","ZCTA5 90003"
"60541","1738","30095","937","10877","632","2114","330","49","45","15262","869","129","109","180","155","1484","338","38","31","1446","338","30446","1622","10722","1111","74","68","83","60","155","84","47","71","18757","1747","608","183","398","151","210","114","8600000US90004","ZCTA5 90004"
"39732","1493","20072","954","3481","345","2113","376","111","78","13541","986","65","74","209","145","552","190","14","22","538","187","19660","1261","5791","840","177","147","95","61","56","55","0","26","13192","1234","349","133","194","99","155","82","8600000US90005","ZCTA5 90005"
"59576","1493","16039","694","2707","348","1801","347","125","84","10837","604","113","156","134","92","322","112","14","18","308","114","43537","1531","17318","1330","96","65","389","219","125","100","0","29","24952","1557","657","274","370","209","287","137","8600000US90006","ZCTA5 90006"
"42433","1410","20761","1042","6916","706","4425","566","55","46","8147","686","60","39","111","79","1047","228","163","123","884","180","21672","1165","8707","890","123","64","234","122","130","54","6","10","11960","1181","512","160","331","150","181","69","8600000US90007","ZCTA5 90007"
"31754","1394","24188","1297","1844","381","20350","1307","60","64","1082","316","21","24","210","183","621","179","0","26","621","179","7566","1437","3705","1127","325","227","19","33","0","26","23","36","3144","846","350","186","143","88","207","166","8600000US90008","ZCTA5 90008"
"3822","643","3452","578","543","153","208","156","12","45","2472","505","36","56","9","14","172","130","9","13","163","134","370","255","268","245","21","33","24","39","19","31","0","12","38","30","0","12","0","12","0","12","8600000US90010","ZCTA5 90010"
"111165","2097","9982","1040","582","175","8147","1034","178","132","617","208","56","44","63","38","339","149","29","38","310","146","101183","2248","49083","2685","343","172","1214","477","30","26","10","17","48910","2528","1593","700","1078","672","515","184","8600000US90011","ZCTA5 90011"
"36552","1263","26088","993","6088","546","4877","536","287","218","13654","791","78","47","151","104","953","289","47","43","906","290","10464","842","4106","565","162","94","122","64","32","35","17","20","5503","687","522","173","314","133","208","120","8600000US90012","ZCTA5 90012"
"12559","951","10575","803","3816","467","3550","530","96","80","2217","351","76","104","55","68","765","254","93","92","672","242","1984","438","883","239","53","85","56","65","0","19","12","19","739","285","241","213","95","86","146","220","8600000US90013","ZCTA5 90013"
"8688","1133","7408","1028","3310","541","2040","614","37","78","1608","260","0","17","56","42","357","188","0","17","357","188","1280","320","597","190","0","17","6","9","40","54","13","28","531","228","93","86","40","60","53","61","8600000US90014","ZCTA5 90014"
"22651","1051","8596","695","3043","439","1496","370","12","13","3560","504","0","23","38","38","447","186","44","67","403","172","14055","1019","5721","845","162","125","168","131","10","15","10","15","7573","900","411","169","323","162","88","81","8600000US90015","ZCTA5 90015"
"45899","1704","21841","1160","4344","571","13625","951","50","57","2369","395","49","53","306","206","1098","288","105","72","993","288","24058","1361","15308","1294","349","213","79","70","72","102","0","26","7803","1135","447","184","247","115","200","119","8600000US90016","ZCTA5 90016"
"27723","1084","10480","745","2996","437","2234","482","0","23","4611","651","68","107","23","30","548","205","68","68","480","195","17243","1034","7634","819","83","60","360","216","19","31","0","23","8826","1124","321","167","147","140","174","112","8600000US90017","ZCTA5 90017"
